import_time,gray_time,blur_time,sobel_time,filters_time,export_time,
0.045006,0.005325,0.297092,0.000000,0.302464,0.506311,
0.055235,0.007979,0.668381,0.000000,0.676431,0.842956,
0.000656,0.000125,0.005123,0.000000,0.005285,0.020266,
0.041861,0.005472,0.144629,0.000000,0.150159,0.395916,
0.010980,0.002533,0.169352,0.000000,0.171936,0.210451,
0.999214,0.175008,18.012207,0.000000,18.187285,25.549092,
1.065157,0.193924,19.816614,0.000000,20.010586,23.985089,
0.002249,0.000277,0.000853,0.000001,0.001180,0.018557,
0.006922,0.001005,0.084424,0.000000,0.085479,0.125841,
0.270708,0.033470,1.851965,0.000000,1.885481,3.883427,
0.506104,0.075459,3.101733,0.000000,3.177247,8.133906,
0.001606,0.000390,0.005576,0.000000,0.006034,0.008260,
0.023366,0.003549,0.223532,0.000000,0.227132,0.273943,
0.124011,0.013123,0.436938,0.000000,0.450126,1.045291,
0.052514,0.009299,0.343578,0.000000,0.352932,0.728484,
0.046616,0.005369,0.195029,0.000000,0.200511,0.617521,
0.058536,0.011780,0.397409,0.000000,0.409312,1.234272,
0.000864,0.000154,0.012294,0.000000,0.017100,0.041190,
0.044809,0.006627,0.173943,0.000000,0.180656,0.562983,
0.015694,0.003188,0.174980,0.000000,0.178249,0.285770,
1.040047,0.205672,8.754653,0.000000,8.960375,25.362763,
1.374934,0.199151,10.596865,0.000000,10.796088,26.314361,
0.001498,0.000164,0.005485,0.000000,0.005692,0.021544,
0.005742,0.001230,0.157502,0.000000,0.158885,0.126822,
0.225109,0.025726,1.073132,0.000000,1.098967,3.859435,
0.466143,0.062762,1.774705,0.000000,1.838237,8.172668,
0.001147,0.000196,0.004968,0.000000,0.005983,0.024450,
0.018953,0.003016,0.172334,0.000000,0.176568,0.312120,
0.113214,0.013341,0.232782,0.000000,0.246246,1.227594,
0.048749,0.009501,0.287362,0.000000,0.296976,1.069484,
0.044885,0.004744,0.162342,0.019341,0.186837,0.346359,
0.049448,0.009566,0.299000,0.031224,0.340866,0.244414,
0.000835,0.000156,0.004607,0.000396,0.005224,0.001107,
0.037592,0.004466,0.216528,0.034866,0.256074,0.195282,
0.017021,0.003379,0.217200,0.018199,0.238971,0.049126,
0.992707,0.211255,9.959821,0.853414,11.024565,1.249659,
1.013487,0.215672,9.930960,0.721277,10.867973,2.964687,
0.002747,0.000449,0.012383,0.000638,0.013551,0.005110,
0.005759,0.001287,0.111645,0.003399,0.116518,0.011800,
0.256547,0.035398,0.988121,0.140793,1.164465,1.365306,
0.458349,0.068279,1.607010,0.321520,1.997393,3.708425,
0.001273,0.000218,0.003564,0.000726,0.004562,0.001942,
0.020151,0.003078,0.181837,0.020929,0.206019,0.029628,
0.145548,0.016561,0.280409,0.067395,0.364502,0.666519,
0.057745,0.012336,0.273093,0.046679,0.332329,0.728869,
0.045756,0.004322,0.129851,0.000000,0.134245,0.525315,
0.068665,0.010186,0.313079,0.000000,0.323398,
0.000686,0.000104,0.001531,0.000000,0.001667,0.005977,
0.041819,0.007194,0.095365,0.000000,0.102630,0.514855,
0.015099,0.002789,0.110399,0.000000,0.113343,0.306765,
1.008062,0.193978,7.493191,0.000000,7.687208,
0.987223,0.181903,7.816657,0.000000,7.998608,
0.002229,0.000200,0.010924,0.000000,0.011186,0.030817,
0.005422,0.000831,0.007702,0.000000,0.008610,0.015439,
0.282292,0.028054,0.972253,0.000000,1.000400,
0.466953,0.074807,1.221719,0.000000,1.296572,7.498199,
0.001566,0.000270,0.008501,0.000000,0.008837,0.009177,
0.023239,0.004413,0.148388,0.000000,0.153590,0.320638,
0.145346,0.023063,0.495772,0.000000,0.526846,1.330576,
0.047777,0.006165,0.181248,0.000001,0.188196,
0.048513,0.004306,0.215238,0.000000,0.220410,0.521061,
0.049254,0.007535,0.468521,0.000001,0.477430,
0.000993,0.000136,0.010547,0.000000,0.010752,0.007697,
0.049961,0.005814,0.120372,0.000000,0.126312,0.443225,
0.016236,0.002599,0.100609,0.000000,0.103338,0.346793,
1.087540,0.158836,7.097235,0.000000,7.256125,
0.879949,0.152632,7.431893,0.000000,7.584566,
0.001856,0.000267,0.047145,0.000000,0.047449,0.021220,
0.004996,0.000931,0.009709,0.000000,0.010704,0.015326,
0.249890,0.025136,0.606322,0.000000,0.632250,
0.427428,0.063750,1.130379,0.000000,1.194951,6.311378,
0.001502,0.000266,0.010087,0.000000,0.010433,0.011631,
0.018687,0.003276,0.088048,0.000000,0.091436,
0.108292,0.012061,0.130171,0.000000,0.142297,1.212269,
0.054190,0.007399,0.173376,0.000000,0.180898,
0.043524,0.004312,0.175268,0.000000,0.179685,0.657643,
0.060767,0.010486,0.501549,0.000000,0.512916,1.698071,
0.000652,0.000104,0.002884,0.000000,0.003027,0.028620,
0.041611,0.006306,0.117845,0.000000,0.124279,0.507497,
0.013249,0.002197,0.129836,0.000000,0.132081,0.301817,
0.046716,0.005634,0.160684,0.000000,0.166423,0.506805,
0.058333,0.010327,0.354105,0.000001,0.364503,0.876607,
0.000825,0.000130,0.006664,0.000000,0.006843,0.027040,
0.041530,0.005768,0.121182,0.000000,0.127056,0.401571,
0.010836,0.002003,0.098171,0.000000,0.100277,0.227828,
1.048879,0.171545,10.145938,0.000000,10.317527,23.270045,
1.026787,0.195045,9.635728,0.000000,9.830816,21.740939,
0.001499,0.000156,0.013005,0.000000,0.013230,0.026113,
0.005849,0.001217,0.052311,0.000001,0.053647,0.135927,
0.239472,0.026111,0.864608,0.000000,0.891523,3.807568,
0.500028,0.073642,2.052865,0.000001,2.127332,7.746572,
0.001494,0.000213,0.012541,0.000000,0.012849,0.015265,
0.020321,0.003345,0.138532,0.000000,0.141944,0.247626,
0.114958,0.014700,0.246929,0.000000,0.261756,1.011589,
0.053886,0.008865,0.232107,0.000000,0.241769,0.734501,
0.069275,0.006254,0.080543,0.000000,0.097341,0.844191,
0.069472,0.011311,0.118379,0.000000,0.130864,1.181770,
0.000820,0.000147,0.017180,0.000000,0.020179,0.018994,
0.044390,0.005127,0.063734,0.000000,0.068990,0.508487,
0.011209,0.001829,0.022983,0.000000,0.024918,0.282171,
0.972111,0.166125,1.375781,0.000000,1.541946,28.010203,
0.976965,0.219892,1.782037,0.000000,2.001987,28.863206,
0.001823,0.000233,0.005101,0.000000,0.005478,0.037549,
0.006839,0.000977,0.034401,0.000000,0.035454,0.015534,
0.312296,0.032750,0.210888,0.000000,0.244503,4.352981,
0.594095,0.101719,0.726297,0.000000,0.828109,8.061983,
0.001221,0.000190,0.016814,0.000000,0.017056,0.012242,
0.020963,0.002981,0.030935,0.000001,0.034009,0.317186,
0.119618,0.011756,0.117197,0.000000,0.129080,1.087628,
0.055918,0.007535,0.092088,0.000000,0.099781,0.890645,
0.044125,0.004155,0.162258,0.000000,0.166556,0.471394,
0.051623,0.007886,0.384614,0.000000,0.392606,0.882674,
0.000625,0.000093,0.019757,0.000000,0.019930,0.025707,
0.041637,0.005907,0.318536,0.000000,0.324573,0.429865,
0.012582,0.002434,0.110452,0.000000,0.112994,0.265618,
0.957941,0.187212,10.098835,0.000000,10.286100,21.478740,
0.852695,0.154996,7.924951,0.000000,8.079988,18.328739,
0.001554,0.000186,0.001090,0.000000,0.001299,0.016333,
0.005341,0.000870,0.054276,0.000001,0.055429,0.100313,
0.212627,0.028503,0.788654,0.000000,0.817993,3.336805,
0.414254,0.071897,1.513259,0.000000,1.586037,7.118060,
0.001188,0.000177,0.002716,0.000000,0.002953,0.007059,
0.018906,0.002510,0.113319,0.000000,0.115905,0.237963,
0.126976,0.010627,0.231624,0.000000,0.242367,0.926305,
0.052331,0.007403,0.186619,0.000000,0.194141,0.723540,
0.041612,0.002055,0.050403,0.000000,0.052494,0.332738,
0.047125,0.004149,0.117806,0.000000,0.122008,0.564651,
0.007307,0.000073,0.001221,0.000000,0.001326,0.012345,
0.017356,0.002339,0.063387,0.000000,0.065769,0.322295,
0.027465,0.004143,0.104555,0.000000,0.108748,0.543383,
0.000612,0.000125,0.019060,0.000000,0.019222,0.011615,
0.021067,0.001137,0.061344,0.000000,0.062522,0.334077,
0.028084,0.005059,0.120237,0.000000,0.125347,0.527685,
0.000777,0.010521,0.001089,0.000000,0.011646,0.013969,
0.020902,0.008748,0.042920,0.000000,0.051715,0.270215,
0.013784,0.005649,0.040513,0.000000,0.046211,0.140776,
0.018470,0.001876,0.062127,0.000000,0.064051,0.321524,
0.026863,0.013189,0.108889,0.000000,0.122132,0.524284,
0.000622,0.000373,0.004915,0.000000,0.005325,0.012941,
0.020910,0.003079,0.033907,0.000000,0.037030,0.271718,
0.005910,0.017335,0.039275,0.000000,0.056657,0.142173,
0.401859,0.064890,3.515271,0.000000,3.580212,12.890095,
0.404820,0.063987,3.179262,0.000000,3.243297,12.447550,
0.003894,0.008427,0.000640,0.000000,0.009109,0.009846,
0.009643,0.000357,0.016049,0.000000,0.016447,0.063097,
0.122834,0.017558,0.317341,0.000000,0.334952,2.279898,
0.229312,0.034494,1.183114,0.000000,1.217802,4.514796,
0.005199,0.000344,0.000706,0.000000,0.001079,0.004694,
0.019189,0.008198,0.048247,0.000000,0.056493,0.160468,
0.074205,0.014298,0.092755,0.000000,0.107111,0.674224,
0.042701,0.007881,0.067833,0.000000,0.075767,0.488656,
