import_time,gray_time,blur_time,sobel_time,filters_time,export_time,
0.018498,0.000915,0.041784,0.008233,0.050989,0.184099,
0.024220,0.004211,0.108301,0.008254,0.121126,0.122054,
0.000712,0.000370,0.003172,0.000235,0.003814,0.001316,
0.016515,0.006542,0.030394,0.009575,0.046562,0.068616,
0.006590,0.002329,0.032153,0.003636,0.038549,0.021096,
0.537689,0.053207,2.829427,0.302786,3.185505,0.725994,
0.521717,0.053570,2.626459,0.300955,2.981056,1.765758,
0.001170,0.003149,0.020784,0.017985,0.041957,0.003456,
0.002702,0.000135,0.017974,0.000858,0.019012,0.004224,
0.127007,0.007646,0.266079,0.036778,0.310566,0.772301,
0.238903,0.029214,0.484155,0.078233,0.591667,1.897387,
0.000971,0.000220,0.000604,0.000240,0.001087,0.001668,
0.008197,0.004038,0.031954,0.007401,0.043444,0.009807,
0.058651,0.014534,0.074964,0.016238,0.105793,0.380395,
0.029306,0.011238,0.061613,0.020927,0.093830,0.392392,
0.018504,0.001412,0.047248,0.010336,0.059049,0.175527,
0.025348,0.002762,0.111506,0.010301,0.124619,0.123225,
0.000575,0.001366,0.004792,0.000255,0.006448,0.001336,
0.017900,0.002047,0.028075,0.007306,0.037478,0.065813,
0.006550,0.002553,0.029865,0.007424,0.040337,0.020944,
0.535376,0.053758,2.660788,0.285903,3.000510,0.711147,
0.526895,0.053458,2.634327,0.329729,3.017572,1.785356,
0.001032,0.007096,0.015162,0.004102,0.026462,0.006869,
0.002572,0.004129,0.011286,0.000846,0.016315,0.004359,
0.130861,0.007578,0.312075,0.034867,0.354586,0.767514,
0.251727,0.019910,0.468454,0.079955,0.568376,1.864810,
0.000796,0.000929,0.008310,0.000958,0.010251,0.001617,
0.007927,0.000457,0.031414,0.005722,0.037645,0.012287,
0.058767,0.007811,0.073128,0.021514,0.102508,0.376543,
0.023711,0.006949,0.055993,0.011699,0.074691,0.416834,
0.020970,0.002331,0.044123,0.009439,0.055950,0.196619,
0.027695,0.009775,0.101455,0.010419,0.121698,0.130361,
0.000741,0.011069,0.144752,0.033611,0.189490,0.003221,
0.019857,0.009630,0.047642,0.048426,0.105855,0.062674,
0.006947,0.015694,0.054921,0.005129,0.075860,0.025123,
0.554908,0.058201,3.140521,0.319746,3.518540,0.715752,
0.563852,0.060390,2.705377,0.286885,3.052725,1.779123,
0.001078,0.004729,0.004262,0.028727,0.037882,0.002742,
0.003405,0.002952,0.013785,0.000860,0.017643,0.004987,
0.126350,0.007998,0.292528,0.045940,0.346528,0.765905,
0.241599,0.024674,0.480477,0.079173,0.584542,1.873394,
0.000805,0.000140,0.000622,0.000273,0.001057,0.001751,
0.008389,0.000910,0.032518,0.005703,0.039201,0.012356,
0.056805,0.006822,0.079765,0.014878,0.101523,0.374017,
0.023913,0.003333,0.057619,0.007715,0.068713,0.390996,
0.019233,0.000931,0.050962,0.007128,0.059072,0.180908,
0.023979,0.008844,0.101690,0.008818,0.119505,0.122180,
0.000582,0.000160,0.005871,0.000271,0.006338,0.001330,
0.016604,0.002167,0.023165,0.008923,0.034302,0.067031,
0.006738,0.001471,0.025502,0.004179,0.031546,0.021777,
0.529843,0.052182,2.611839,0.289487,2.953593,0.707088,
0.528216,0.053812,2.612213,0.287171,2.953267,1.628971,
0.001016,0.005561,0.007108,0.001631,0.014329,0.004735,
