import_time,gray_time,blur_time,sobel_time,filters_time,export_time,
0.017456,0.010028,0.050491,0.008398,0.068976,0.184201,
0.025163,0.005983,0.093525,0.010840,0.110414,0.142933,
0.000630,0.012914,0.001421,0.000321,0.014696,0.004806,
0.015726,0.002982,0.032277,0.003168,0.038476,0.081992,
0.006634,0.003682,0.032680,0.003654,0.040070,0.021560,
0.539088,0.055580,2.842087,0.315191,3.212935,0.721364,
0.531358,0.053256,2.629392,0.287229,2.969933,1.800891,
0.001232,0.004111,0.006710,0.000316,0.011169,0.004097,
0.002522,0.001496,0.011755,0.000915,0.014208,0.004218,
0.118258,0.010921,0.323793,0.040017,0.374797,0.786995,
0.243087,0.034231,0.478330,0.078358,0.590991,2.125490,
0.000995,0.000990,0.000593,0.000245,0.001853,0.002432,
0.007675,0.000610,0.035756,0.012774,0.049190,0.010788,
0.060220,0.009790,0.078039,0.024776,0.112672,0.394844,
0.022916,0.002335,0.072539,0.013095,0.088028,0.394402,
0.017645,0.001077,0.055957,0.007011,0.064106,0.177466,
0.023494,0.007518,0.100653,0.014531,0.122767,0.123463,
0.000673,0.007675,0.000876,0.000186,0.008772,0.001307,
0.015619,0.007684,0.025626,0.018130,0.051503,0.078979,
0.006576,0.001115,0.032053,0.006830,0.040174,0.021754,
0.539448,0.053428,2.604919,0.283803,2.942240,0.708518,
0.523057,0.055035,2.623524,0.283062,2.961677,1.590257,
0.000985,0.009323,0.000392,0.000225,0.009979,0.010359,
0.002315,0.004286,0.012209,0.000860,0.017400,0.003933,
0.121083,0.010036,0.280844,0.033764,0.324710,0.778514,
0.251754,0.024486,0.466049,0.079274,0.569881,1.882832,
0.000766,0.002298,0.005487,0.000980,0.008803,0.001664,
0.007330,0.004047,0.034576,0.025466,0.064150,0.010391,
0.054497,0.008738,0.067634,0.019137,0.095583,0.384592,
0.022774,0.001960,0.062403,0.010640,0.075060,0.384417,
0.017444,0.001136,0.054728,0.006350,0.062270,0.183921,
0.024099,0.003245,0.105707,0.011034,0.120054,0.125613,
0.000511,0.000207,0.000864,0.000821,0.001918,0.001262,
0.015525,0.001814,0.025301,0.011418,0.038588,0.082862,
0.006096,0.000618,0.027850,0.005327,0.033847,0.021638,
0.543566,0.052563,2.604986,0.287417,2.945051,0.715500,
0.532370,0.061171,2.614153,0.286756,2.962151,1.541832,
0.001045,0.011033,0.000524,0.000363,0.011959,0.002686,
0.002598,0.000283,0.012063,0.000841,0.013230,0.004133,
0.121712,0.013419,0.277907,0.034669,0.326059,0.768816,
0.243450,0.023493,0.481513,0.177009,0.682085,1.878254,
0.000793,0.003641,0.002063,0.002585,0.008328,0.001773,
0.007325,0.001840,0.028923,0.005067,0.035888,0.010407,
0.057693,0.004015,0.072750,0.014645,0.091469,0.380113,
0.022931,0.001977,0.070645,0.009780,0.082464,0.385896,
0.017310,0.001772,0.052150,0.008219,0.062199,0.180558,
0.024478,0.003618,0.100097,0.010393,0.114169,0.126648,
0.000550,0.000218,0.000875,0.000259,0.001384,0.001357,
0.015466,0.001193,0.028312,0.016689,0.046250,0.083561,
0.006907,0.005672,0.045407,0.005250,0.056392,0.021392,
0.538569,0.054332,2.615526,0.289592,2.959507,0.717220,
0.546377,0.052277,2.633382,0.288295,2.974024,1.665430,
0.000994,0.018684,0.000525,0.000306,0.019547,0.002576,
0.002403,0.011068,0.008012,0.011224,0.030358,0.004085,
0.122109,0.009163,0.281494,0.038526,0.329250,0.782285,
0.254518,0.027499,0.471947,0.075383,0.574897,1.933843,
0.000916,0.017093,0.009291,0.000219,0.026648,0.001709,
0.007352,0.007343,0.031835,0.006678,0.045917,0.010262,
0.056802,0.006354,0.080596,0.014140,0.101162,0.384527,
0.023318,0.002087,0.067491,0.009924,0.079563,0.389796,
0.017770,0.001988,0.048375,0.008351,0.058775,0.180621,
0.025774,0.008072,0.107168,0.014870,0.130178,0.127879,
0.000534,0.004144,0.000878,0.000196,0.005244,0.001276,
0.016065,0.001343,0.033371,0.016186,0.050951,0.079370,
0.006317,0.002210,0.026752,0.005660,0.034672,0.022022,
0.533689,0.053607,2.612568,0.294111,2.960372,0.711714,
0.534596,0.053504,2.628944,0.292069,2.974575,1.637146,
0.001158,0.011277,0.000363,0.000215,0.011892,0.008527,
0.002519,0.001024,0.008532,0.004752,0.014357,0.003874,
0.122280,0.014245,0.274970,0.035019,0.324302,0.784112,
0.241075,0.028856,0.463046,0.084071,0.576040,1.878069,
0.000917,0.002197,0.002148,0.000330,0.004714,0.001667,
0.007566,0.006065,0.030238,0.024265,0.060619,0.010028,
0.071555,0.004051,0.071130,0.015790,0.091155,0.377998,
0.022696,0.001915,0.069159,0.009810,0.080947,0.389287,
0.019016,0.001938,0.058582,0.008366,0.068944,0.191142,
0.023967,0.003340,0.104903,0.011284,0.119594,0.128536,
0.000997,0.000200,0.002170,0.001125,0.003530,0.001936,
0.015691,0.001189,0.022737,0.007338,0.031315,0.079727,
0.006162,0.000949,0.026653,0.005519,0.033177,0.021324,
0.534567,0.052177,2.606382,0.289548,2.948181,0.708519,
0.528483,0.052708,2.647238,0.286127,2.986133,1.502647,
0.000962,0.005140,0.000505,0.000289,0.005965,0.002944,
0.002416,0.016508,0.012725,0.005110,0.034401,0.003953,
0.119836,0.010766,0.282714,0.037722,0.331268,0.783388,
0.242032,0.023417,0.470404,0.079882,0.573778,1.866049,
0.000751,0.011252,0.000601,0.000198,0.012087,0.001861,
0.007320,0.007309,0.031821,0.016185,0.055369,0.012361,
0.058637,0.015476,0.068922,0.020527,0.104994,0.383636,
0.022771,0.003800,0.063547,0.009934,0.077343,0.395285,
0.018326,0.004763,0.054539,0.008700,0.068060,0.176079,
0.024258,0.002078,0.105988,0.010445,0.118576,0.122932,
0.000539,0.011155,0.000938,0.000197,0.012328,0.001558,
0.015821,0.007317,0.026502,0.003196,0.037065,0.083424,
0.006152,0.001993,0.027552,0.008444,0.038039,0.022059,
0.534869,0.052260,2.616278,0.286447,2.955070,0.707841,
0.524053,0.056475,2.628011,0.286469,2.971041,1.545653,
0.001095,0.024599,0.000568,0.000299,0.025498,0.006056,
0.002360,0.000282,0.017884,0.000844,0.019055,0.005391,
0.121040,0.019115,0.271151,0.041553,0.331886,0.812304,
0.241057,0.023102,0.479488,0.084368,0.587027,1.875343,
0.000746,0.008842,0.000621,0.000250,0.009746,0.001870,
0.007641,0.000775,0.054017,0.002470,0.057315,0.015309,
0.054589,0.011197,0.083376,0.014317,0.108953,0.377885,
0.024537,0.006482,0.074455,0.011549,0.092548,0.391124,
0.017718,0.001105,0.060484,0.008697,0.070341,0.202549,
0.027963,0.005741,0.118214,0.015714,0.139739,0.128222,
0.000562,0.000231,0.004556,0.000239,0.005067,0.001357,
0.016160,0.003045,0.053330,0.008243,0.064674,0.080878,
0.006205,0.003751,0.032284,0.006544,0.042637,0.023628,
0.518758,0.062412,2.614722,0.285858,2.963062,0.713306,
0.530987,0.055319,2.624732,0.290912,2.971032,1.673926,
0.000914,0.021411,0.000508,0.000328,0.022288,0.002483,
0.002359,0.012073,0.015477,0.000852,0.028455,0.004007,
0.121712,0.010349,0.280743,0.038616,0.329771,0.787467,
0.240369,0.024390,0.523314,0.123841,0.672301,1.904317,
0.000744,0.021316,0.000623,0.000196,0.022170,0.001960,
0.007181,0.000652,0.049372,0.002541,0.052615,0.011298,
0.057078,0.007403,0.077249,0.014946,0.099663,0.386584,
0.024381,0.006807,0.077351,0.010195,0.094413,0.395403,
0.017252,0.016745,0.051762,0.008145,0.076711,0.184000,
0.025280,0.002075,0.112764,0.010466,0.125368,0.130517,
0.000522,0.010912,0.003475,0.000180,0.014877,0.001416,
0.015335,0.002495,0.052973,0.008520,0.064045,0.080135,
0.005933,0.000569,0.035893,0.007102,0.043615,0.021696,
0.531720,0.052667,2.615451,0.289682,2.957858,0.712500,
0.535593,0.052394,2.621423,0.291793,2.965696,1.563308,
0.001157,0.024752,0.007819,0.000237,0.032845,0.002624,
0.002523,0.004487,0.007942,0.006784,0.019262,0.006996,
0.118762,0.013793,0.295280,0.037868,0.347005,0.781538,
0.244292,0.043224,0.476136,0.084179,0.603608,1.870514,
0.000885,0.003519,0.005487,0.000281,0.009335,0.001659,
0.007304,0.005783,0.048994,0.002453,0.057291,0.010016,
0.055535,0.017763,0.079218,0.014026,0.111081,0.388844,
