import_time,gray_time,blur_time,sobel_time,filters_time,export_time,
0.017644,0.000899,0.050806,0.006748,0.058465,0.202956,
0.027940,0.002057,0.107422,0.009832,0.119324,0.137905,
0.001233,0.000027,0.001674,0.000267,0.001972,0.001422,
0.020716,0.001106,0.025441,0.005132,0.031687,0.076187,
0.011649,0.000521,0.035571,0.003590,0.039692,0.019811,
0.583614,0.061149,3.352161,0.430805,3.844125,0.833671,
0.587635,0.060828,3.349950,0.428842,3.839635,2.101663,
0.001808,0.000081,0.000425,0.000315,0.000823,0.002424,
0.003338,0.000131,0.014071,0.001468,0.015678,0.004249,
0.115758,0.008854,0.344120,0.049211,0.402195,0.872635,
0.229153,0.023141,0.583135,0.110941,0.717230,2.128086,
0.001409,0.000024,0.000810,0.000312,0.001149,0.001732,
0.009966,0.000334,0.033846,0.003591,0.037779,0.010130,
0.070498,0.003793,0.083405,0.016562,0.103770,0.398846,
0.025088,0.001870,0.061861,0.008910,0.072651,0.436004,
0.015998,0.000879,0.051145,0.006717,0.058749,0.201715,
0.036880,0.002041,0.109103,0.009915,0.121069,0.137926,
0.001427,0.000050,0.002876,0.000466,0.003400,0.002079,
0.020478,0.001111,0.025457,0.005093,0.031667,0.075907,
0.009621,0.000470,0.034334,0.003575,0.038388,0.019572,
0.598074,0.068906,3.353172,0.425540,3.847634,0.834804,
0.582963,0.060758,4.171238,0.506673,4.738679,2.279591,
0.001393,0.000086,0.000434,0.000308,0.000830,0.002489,
0.003831,0.000164,0.014511,0.001285,0.015967,0.004821,
0.115877,0.008760,0.343676,0.049989,0.402434,0.871308,
0.223604,0.023109,0.692761,0.129747,0.845628,2.131374,
0.001044,0.000031,0.000807,0.000316,0.001157,0.001583,
0.009230,0.000284,0.033067,0.003949,0.037308,0.010141,
0.071702,0.003731,0.083838,0.016661,0.104239,0.397520,
0.024569,0.001880,0.061027,0.008821,0.071737,0.435533,
0.016498,0.000915,0.051049,0.006779,0.058752,0.202350,
0.037407,0.002042,0.108738,0.009819,0.120609,0.149881,
0.000928,0.000022,0.001673,0.000262,0.001960,0.001429,
0.030029,0.001107,0.025615,0.005115,0.031846,0.075726,
0.011298,0.000538,0.037728,0.003530,0.041806,0.019473,
0.583873,0.062613,3.348147,0.429028,3.839800,0.833158,
0.583538,0.061308,3.352174,0.430143,3.843637,1.790815,
0.001313,0.000082,0.000428,0.000309,0.000822,0.002394,
0.003980,0.000174,0.015687,0.001414,0.017282,0.004226,
0.115912,0.008864,0.341871,0.049367,0.400112,0.871942,
0.223225,0.023762,0.581301,0.110695,0.715769,2.125532,
0.001093,0.000033,0.000812,0.000320,0.001167,0.001590,
0.011028,0.000461,0.035804,0.003838,0.040117,0.010217,
0.068173,0.003741,0.083314,0.016428,0.103492,0.411986,
0.024935,0.001876,0.061600,0.008860,0.072346,0.435584,
0.016497,0.000876,0.050462,0.007018,0.058367,0.201116,
0.034723,0.002059,0.109691,0.009970,0.121728,0.137491,
0.001039,0.000030,0.002276,0.000370,0.002681,0.001728,
