import_time,gray_time,blur_time,sobel_time,filters_time,export_time,
0.019447,0.001127,0.045697,0.009234,0.056115,0.255035,
0.025676,0.006445,0.093013,0.007146,0.106673,0.159297,
0.000540,0.005974,0.001022,0.000161,0.007202,0.001925,
0.017722,0.013213,0.024436,0.007293,0.045015,0.086743,
0.007585,0.002828,0.030406,0.005250,0.038542,0.027507,
0.586456,0.057497,2.826131,0.308792,3.192481,0.767691,
0.580760,0.059835,2.841312,0.308266,3.209480,2.374837,
0.001235,0.009866,0.000490,0.000248,0.010638,0.002851,
0.002818,0.000379,0.012092,0.008160,0.020687,0.004339,
0.131398,0.025341,0.296112,0.035451,0.356974,1.052955,
0.263537,0.030708,0.495057,0.080609,0.606449,2.638788,
0.000997,0.008141,0.000681,0.000216,0.009072,0.002002,
0.008088,0.000666,0.042964,0.004655,0.048364,0.013562,
0.060410,0.007728,0.079914,0.013502,0.101220,0.478235,
0.025172,0.005614,0.065585,0.009576,0.080843,0.505221,
0.020226,0.001132,0.052382,0.006463,0.060034,0.256681,
0.025580,0.005610,0.103459,0.009347,0.118480,0.158345,
0.000683,0.004511,0.003066,0.000201,0.007822,0.001337,
0.017485,0.003612,0.029354,0.007091,0.040113,0.087879,
0.006647,0.000606,0.037165,0.004301,0.042368,0.027586,
0.584080,0.056509,2.833388,0.309757,3.199732,0.757308,
0.577888,0.056971,2.835868,0.308659,3.201573,2.240164,
0.001067,0.003174,0.000496,0.001229,0.004934,0.002880,
0.002787,0.010402,0.019916,0.000796,0.031166,0.004550,
0.138452,0.011671,0.298904,0.043664,0.354307,1.045837,
0.277672,0.024647,0.497045,0.081464,0.603231,2.588272,
0.000862,0.000758,0.003455,0.000231,0.004483,0.002324,
0.008325,0.005382,0.039205,0.003830,0.048476,0.014760,
0.060275,0.011693,0.083624,0.014019,0.109403,0.475021,
0.025116,0.006388,0.066134,0.008913,0.081503,0.503565,
0.019536,0.004190,0.048366,0.007293,0.059903,0.257758,
0.029188,0.005666,0.103776,0.009279,0.118785,0.158137,
0.000726,0.000238,0.000967,0.000226,0.001457,0.001252,
0.018014,0.009780,0.032364,0.014873,0.057076,0.087921,
0.006741,0.000673,0.031773,0.004352,0.036856,0.027270,
0.579471,0.056886,2.828933,0.307838,3.193723,0.763414,
0.578757,0.057118,2.831983,0.310667,3.199828,2.385824,
0.001077,0.004416,0.000493,0.000436,0.005379,0.002993,
0.002589,0.012627,0.012287,0.000800,0.025769,0.004818,
0.130937,0.011784,0.300021,0.037646,0.349522,1.045450,
0.261817,0.032675,0.504961,0.084126,0.621835,2.595508,
0.001038,0.008952,0.003739,0.000575,0.013312,0.002034,
0.008052,0.013113,0.046279,0.005472,0.064929,0.010836,
0.060981,0.007764,0.076216,0.021819,0.105869,0.477472,
0.025127,0.006519,0.063309,0.009186,0.079087,0.504810,
0.019548,0.001460,0.053062,0.006537,0.061277,0.254554,
0.025704,0.006556,0.101138,0.010006,0.117772,0.159821,
0.000568,0.001526,0.003456,0.000220,0.005247,0.001303,
0.017555,0.001481,0.023778,0.010981,0.036303,0.087012,
0.006525,0.001238,0.034375,0.004510,0.040176,0.027435,
0.574197,0.056414,2.850045,0.308036,3.214562,0.780032,
0.582093,0.064478,2.851977,0.307876,3.224419,2.278554,
0.001059,0.004612,0.000530,0.000345,0.005527,0.002904,
0.003407,0.000398,0.008881,0.002730,0.012063,0.006414,
0.130751,0.016415,0.300750,0.040512,0.357749,1.057712,
0.262325,0.030284,0.498667,0.084738,0.613760,2.596611,
0.000822,0.000247,0.003583,0.000746,0.004611,0.002566,
0.008050,0.002004,0.039706,0.004304,0.046072,0.011202,
0.060743,0.009442,0.077633,0.013807,0.100960,0.481399,
0.025811,0.005713,0.066715,0.008932,0.081430,0.509713,
0.019463,0.008200,0.060845,0.007258,0.076361,0.255877,
0.025543,0.007974,0.102143,0.009585,0.119767,0.159884,
0.000561,0.000216,0.000969,0.000174,0.001386,0.001190,
0.017180,0.001333,0.032149,0.011890,0.045428,0.086814,
0.006616,0.001782,0.034981,0.004762,0.041580,0.027495,
0.578826,0.064315,2.822779,0.308215,3.195401,0.760147,
0.575959,0.057814,2.824558,0.309074,3.191510,2.187183,
0.001460,0.003459,0.001425,0.000344,0.005267,0.002947,
0.002829,0.003022,0.018558,0.000780,0.023480,0.004710,
0.131047,0.011618,0.301481,0.037791,0.350960,1.048352,
0.263409,0.024415,0.497875,0.085188,0.607548,2.593926,
0.000924,0.007588,0.000757,0.000221,0.008600,0.001665,
0.008287,0.000649,0.038684,0.004453,0.043842,0.010618,
0.060261,0.007805,0.079596,0.013216,0.100695,0.476229,
0.025248,0.006010,0.063331,0.009231,0.078641,0.510377,
0.023094,0.002723,0.055099,0.006471,0.064350,0.258682,
0.025846,0.006927,0.101878,0.010057,0.118933,0.159494,
0.000563,0.004804,0.000962,0.000160,0.005954,0.001263,
0.018291,0.009122,0.029831,0.006543,0.045555,0.088553,
