import_time,gray_time,blur_time,sobel_time,filters_time,export_time,
0.017380,0.001832,0.051565,0.009412,0.062861,0.284892,
0.027187,0.008909,0.101627,0.010301,0.120877,0.196981,
0.000723,0.000034,0.001060,0.000154,0.001526,0.001368,
0.017474,0.007835,0.025293,0.004928,0.038099,0.103460,
0.005465,0.000402,0.032207,0.004642,0.037303,0.029300,
0.368429,0.055283,3.047957,0.435675,3.538983,0.779786,
0.367083,0.055373,3.055156,0.435881,3.546478,2.378700,
0.001240,0.001654,0.026147,0.001158,0.028985,0.003274,
0.002898,0.000206,0.015659,0.000808,0.016723,0.004613,
0.112222,0.010593,0.351897,0.040405,0.402962,1.344011,
0.209383,0.021850,0.456639,0.074655,0.553217,3.358935,
0.000980,0.000206,0.001845,0.000858,0.002948,0.001769,
0.006953,0.000557,0.032912,0.006262,0.039785,0.012418,
0.062163,0.005359,0.070948,0.012840,0.089187,0.533820,
0.024814,0.002994,0.059383,0.008799,0.071230,0.629111,
0.016916,0.004332,0.054585,0.008683,0.067662,0.281754,
0.024001,0.002915,0.102066,0.008083,0.113110,0.193863,
0.000590,0.000036,0.001072,0.000300,0.001434,0.001305,
0.018027,0.004019,0.027063,0.006167,0.037762,0.102731,
0.005691,0.001605,0.029908,0.005821,0.037399,0.029608,
0.362114,0.055263,3.029975,0.434916,3.520223,0.778767,
0.367985,0.055326,3.025719,0.435690,3.516801,2.467725,
0.001092,0.005497,0.014403,0.006082,0.026012,0.004539,
0.002214,0.000156,0.012818,0.000800,0.013825,0.005727,
0.102738,0.009795,0.302534,0.033104,0.345502,1.313173,
0.198347,0.022105,0.485836,0.073661,0.581660,3.361414,
0.000850,0.000122,0.000682,0.000219,0.001046,0.001672,
0.008307,0.000438,0.032553,0.005031,0.038216,0.013458,
0.057932,0.004200,0.072919,0.013197,0.090579,0.535052,
0.024340,0.004569,0.059398,0.007509,0.071524,0.615400,
0.018021,0.000988,0.048382,0.008937,0.058774,0.281746,
0.023513,0.005235,0.120208,0.018698,0.144196,0.200274,
0.000600,0.000071,0.004565,0.000177,0.005199,0.001345,
0.017511,0.002125,0.023939,0.004824,0.030932,0.103750,
0.005273,0.000369,0.051824,0.003793,0.056039,0.029507,
0.366378,0.055329,3.023803,0.434726,3.513921,0.779664,
0.365739,0.055508,3.057713,0.436225,3.549861,2.425910,
0.001100,0.002326,0.017988,0.007226,0.027571,0.004313,
0.002852,0.000162,0.019960,0.007534,0.027708,0.004677,
0.103644,0.012426,0.305580,0.034794,0.352874,1.314010,
0.196994,0.022524,0.484781,0.074405,0.581762,3.355836,
0.000918,0.000047,0.000767,0.000219,0.001069,0.001823,
0.006865,0.005881,0.039567,0.005790,0.051301,0.011632,
0.061689,0.003808,0.073214,0.017950,0.095016,0.535244,
0.024356,0.001855,0.062852,0.009429,0.074335,0.617969,
0.016343,0.001163,0.047769,0.009157,0.058144,0.284315,
0.025153,0.010034,0.098948,0.009381,0.118520,0.195267,
0.000587,0.000040,0.001060,0.000232,0.001360,0.001269,
0.017617,0.002675,0.029487,0.007629,0.039843,0.103924,
0.007217,0.000422,0.030973,0.004403,0.035881,0.030731,
0.362001,0.055606,3.038028,0.435681,3.529381,0.776832,
0.365619,0.055310,3.046156,0.435222,3.536755,2.537305,
0.001091,0.008429,0.014163,0.003055,0.025758,0.003142,
0.002155,0.000640,0.010632,0.001048,0.012370,0.006920,
0.102722,0.008215,0.303124,0.033247,0.344655,1.327341,
0.200168,0.022060,0.473289,0.073854,0.569384,3.351777,
0.000956,0.000035,0.000669,0.000204,0.000918,0.002161,
0.008049,0.000404,0.033026,0.004625,0.038544,0.016698,
0.058111,0.004952,0.069207,0.013250,0.087457,0.551018,
0.024496,0.001993,0.059266,0.009096,0.070563,0.620266,
0.016738,0.000956,0.048480,0.008308,0.057965,0.284260,
0.024284,0.002160,0.099155,0.008434,0.109800,0.192785,
0.000751,0.000036,0.001068,0.000232,0.001360,0.001238,
