import_time,gray_time,blur_time,sobel_time,filters_time,export_time,
0.021686,0.000962,0.053837,0.006640,0.061517,0.201520,
0.026117,0.003066,0.098543,0.010971,0.112887,0.137083,
0.000707,0.000104,0.003675,0.000166,0.004241,0.001290,
0.020402,0.001366,0.028669,0.004884,0.034966,0.073400,
0.007364,0.001666,0.040920,0.003811,0.046465,0.023791,
0.576225,0.057851,2.854921,0.307656,3.220500,0.783832,
0.571978,0.056671,2.848276,0.308289,3.213309,2.100272,
0.001193,0.005465,0.014971,0.000663,0.021127,0.002685,
0.002915,0.000192,0.011135,0.000798,0.012175,0.004518,
0.129067,0.011417,0.288594,0.034962,0.335039,0.857442,
0.259866,0.021460,0.501147,0.073723,0.596378,2.053373,
0.001089,0.000374,0.002546,0.000227,0.003179,0.001692,
0.008757,0.000463,0.038897,0.004393,0.043810,0.014608,
0.060703,0.005366,0.069780,0.014898,0.090093,0.408165,
0.025796,0.006990,0.067425,0.007712,0.082182,0.435341,
0.020464,0.001117,0.045247,0.006187,0.052608,0.203325,
0.029097,0.004983,0.105989,0.011641,0.122665,0.137673,
0.000615,0.000042,0.001037,0.000215,0.001317,0.001209,
0.018654,0.005684,0.036402,0.005842,0.047995,0.086594,
0.007194,0.000450,0.032382,0.003890,0.036775,0.024018,
0.573381,0.056457,2.835220,0.310773,3.202536,0.790320,
0.582818,0.056319,2.844657,0.309788,3.210832,2.132076,
0.001077,0.006892,0.005484,0.020348,0.033025,0.002726,
0.002792,0.000203,0.008714,0.002352,0.011313,0.004820,
0.134907,0.081820,0.566641,0.051358,0.699881,1.051441,
0.277656,0.027920,0.493634,0.075006,0.596619,2.087598,
0.000906,0.000177,0.002272,0.000323,0.002812,0.001685,
0.008710,0.000521,0.032892,0.004008,0.037474,0.011290,
0.060807,0.004586,0.068384,0.013076,0.086093,0.411594,
0.026132,0.004332,0.061718,0.007482,0.073579,0.431426,
0.020420,0.000971,0.047184,0.005094,0.053306,0.200780,
0.026613,0.002060,0.097714,0.009185,0.109086,0.135723,
0.000644,0.000140,0.002987,0.000475,0.003635,0.001538,
0.018126,0.005159,0.026954,0.004564,0.036729,0.073986,
0.007129,0.001819,0.028942,0.002769,0.033929,0.024240,
0.570885,0.055997,2.896820,0.306796,3.259702,0.794517,
0.570733,0.056395,2.820581,0.305938,3.182988,2.253934,
0.001089,0.004755,0.008720,0.017092,0.030594,0.003019,
0.002750,0.000192,0.008855,0.002472,0.011568,0.004386,
0.132013,0.020699,0.313974,0.035048,0.369794,0.848574,
0.258704,0.023291,0.461818,0.075823,0.560993,2.055989,
0.000851,0.000121,0.002018,0.000638,0.002810,0.001715,
0.008657,0.000498,0.031733,0.004326,0.036607,0.011142,
0.069440,0.005614,0.073252,0.013075,0.092211,0.412182,
0.025710,0.003847,0.064618,0.007887,0.076402,0.431081,
0.021335,0.001019,0.044409,0.006068,0.051558,0.200196,
0.026400,0.003907,0.101208,0.008747,0.113918,0.136175,
0.000584,0.000085,0.004915,0.000257,0.005296,0.001288,
0.017859,0.002336,0.024957,0.004981,0.032318,0.072278,
0.007105,0.000430,0.030243,0.003950,0.034682,0.023986,
0.572931,0.056077,2.820586,0.305632,3.182386,0.786032,
0.569524,0.056151,2.820076,0.305496,3.181812,2.107402,
0.001084,0.013044,0.014642,0.001679,0.029407,0.002683,
0.002856,0.000223,0.010463,0.000779,0.011851,0.004378,
0.129200,0.010930,0.291595,0.033584,0.336174,0.844802,
0.259697,0.022682,0.475218,0.072708,0.570668,2.050291,
0.000837,0.000175,0.003254,0.000526,0.003989,0.001675,
0.009756,0.000565,0.030105,0.005501,0.036229,0.011873,
0.061397,0.004394,0.071455,0.012946,0.088843,0.405920,
0.025935,0.005024,0.060476,0.007856,0.073411,0.434689,
0.020479,0.001607,0.047682,0.005883,0.055232,0.200155,
0.026527,0.003734,0.096252,0.008698,0.108735,0.136141,
0.000721,0.000045,0.001035,0.000213,0.001323,0.001275,
0.020029,0.001855,0.033839,0.004453,0.040197,0.072488,
0.007234,0.000465,0.030211,0.005018,0.035751,0.024940,
0.572151,0.056272,2.817012,0.305347,3.178699,0.785348,
0.574856,0.059330,2.820730,0.311706,3.191855,2.107851,
0.001634,0.002412,0.005118,0.004911,0.012474,0.002743,
0.002966,0.000199,0.017159,0.002116,0.019527,0.004889,
0.131095,0.010640,0.293977,0.037499,0.342185,0.839809,
0.260617,0.023261,0.480611,0.077353,0.581285,2.047900,
0.001199,0.000528,0.001906,0.000229,0.002695,0.001706,
0.009392,0.000505,0.036720,0.002986,0.040261,0.017617,
0.060955,0.019886,0.073899,0.018466,0.112309,0.413161,
0.025394,0.002824,0.060296,0.010360,0.073524,0.428284,
0.020535,0.003669,0.050487,0.006093,0.060306,0.201963,
0.029174,0.005098,0.103943,0.008561,0.117655,0.133890,
0.000601,0.000047,0.001031,0.000216,0.001327,0.001257,
0.018607,0.003785,0.033736,0.017739,0.055309,0.074971,
0.007173,0.000450,0.033135,0.003827,0.037473,0.023895,
0.572690,0.056874,2.821395,0.306338,3.184697,0.779739,
0.572139,0.056650,2.822288,0.307585,3.186606,1.948409,
0.001072,0.007400,0.008801,0.006237,0.022549,0.011893,
0.002769,0.000699,0.008971,0.000791,0.010505,0.004245,
0.130624,0.010867,0.335373,0.071516,0.417817,0.856234,
0.260269,0.021769,0.472698,0.073142,0.567662,2.055260,
0.000920,0.001739,0.002951,0.001037,0.005772,0.002181,
0.008621,0.000432,0.044803,0.005433,0.050721,0.014390,
0.061147,0.004072,0.078490,0.013313,0.095922,0.417318,
0.025809,0.001993,0.060335,0.007812,0.070188,0.433629,
0.020199,0.001093,0.048888,0.006695,0.056730,0.200531,
0.026159,0.004150,0.110329,0.008766,0.123298,0.135110,
0.000597,0.000054,0.001046,0.000219,0.001342,0.001262,
0.019781,0.001297,0.024883,0.004633,0.030867,0.076040,
