import_time,gray_time,blur_time,sobel_time,filters_time,export_time,
0.016253,0.000971,0.052697,0.008586,0.062315,0.203848,
0.024308,0.002866,0.109203,0.008660,0.120936,0.136990,
0.000720,0.000042,0.001108,0.000185,0.001368,0.001275,
0.017636,0.005952,0.037022,0.012594,0.055617,0.074642,
0.005507,0.000390,0.034053,0.004777,0.039273,0.023360,
0.365034,0.061665,2.968063,0.434949,3.464743,0.831597,
0.386977,0.057776,3.134775,0.435450,3.628854,2.239336,
0.001273,0.004522,0.014770,0.002813,0.022146,0.002798,
0.002898,0.000180,0.012092,0.000811,0.013134,0.004311,
0.104327,0.008214,0.295909,0.033104,0.337297,0.857019,
0.195886,0.024512,0.490944,0.079953,0.595466,2.058343,
0.000958,0.000047,0.000763,0.000220,0.001055,0.001636,
0.006798,0.000436,0.034707,0.009301,0.044500,0.013338,
0.059848,0.005433,0.074325,0.013589,0.093398,0.395620,
0.025346,0.004185,0.065042,0.008843,0.078123,0.426604,
0.016230,0.001283,0.059135,0.009171,0.069648,0.202623,
0.024265,0.003637,0.116442,0.008334,0.128471,0.134728,
0.000591,0.000041,0.001208,0.000165,0.001446,0.001265,
0.017291,0.002130,0.026566,0.009426,0.038177,0.074077,
0.005530,0.000649,0.039529,0.010780,0.051012,0.022991,
0.371692,0.055339,3.002468,0.445989,3.503857,0.822413,
0.373709,0.059880,2.968735,0.435317,3.463993,2.244405,
0.001108,0.002472,0.008178,0.014542,0.025230,0.003143,
0.004536,0.005967,0.017312,0.000812,0.024140,0.004360,
0.105617,0.017547,0.296532,0.033113,0.349034,0.853355,
0.195316,0.021893,0.491882,0.077923,0.591916,2.057424,
0.000847,0.000052,0.000886,0.000226,0.001188,0.001585,
0.006104,0.000402,0.031701,0.004733,0.036891,0.011017,
0.067062,0.003860,0.090225,0.029979,0.124117,0.391609,
0.023617,0.001817,0.062902,0.008475,0.073240,0.423500,
0.016251,0.001022,0.056026,0.009544,0.066651,0.203876,
0.024049,0.006274,0.113433,0.008915,0.128676,0.138146,
0.000605,0.000042,0.001618,0.000170,0.001865,0.001317,
0.017794,0.012466,0.034751,0.005717,0.052986,0.075200,
0.005385,0.000404,0.029771,0.004763,0.034990,0.024252,
0.396040,0.057241,3.005367,0.436112,3.498786,0.823289,
0.373665,0.055155,3.012057,0.446787,3.514067,2.255828,
0.001090,0.012540,0.007905,0.013667,0.034541,0.005426,
0.002132,0.000153,0.009851,0.002400,0.012458,0.004314,
0.103596,0.009356,0.311871,0.032781,0.354076,0.866851,
0.201366,0.022023,0.544630,0.086976,0.653686,2.173514,
0.000838,0.000123,0.000652,0.000220,0.001029,0.003933,
0.006905,0.000409,0.031497,0.005100,0.037062,0.011011,
0.059543,0.008195,0.076704,0.014771,0.099717,0.403230,
0.023621,0.002097,0.069178,0.007749,0.079079,0.431762,
0.017520,0.002759,0.060892,0.011552,0.075265,0.206119,
0.024653,0.009760,0.135287,0.010642,0.155740,0.137465,
0.000596,0.000037,0.004661,0.000388,0.005124,0.001379,
0.019861,0.004165,0.032766,0.013969,0.050956,0.072471,
0.004651,0.000458,0.036290,0.006648,0.043451,0.023626,
0.374683,0.055223,3.010664,0.433804,3.499753,0.822913,
0.381443,0.055300,2.969506,0.430838,3.455711,2.215124,
0.001082,0.002819,0.012551,0.005647,0.021050,0.002684,
0.002240,0.000159,0.010556,0.001298,0.012069,0.011294,
0.103648,0.008295,0.297998,0.032806,0.339169,0.860104,
0.203572,0.022286,0.520342,0.079018,0.621704,2.070203,
0.000831,0.000824,0.001967,0.000756,0.003587,0.001672,
0.006062,0.000963,0.030706,0.005920,0.037645,0.011157,
0.058428,0.008654,0.083769,0.013967,0.106425,0.397820,
0.023302,0.002394,0.074123,0.007431,0.083988,0.421502,
0.017186,0.000958,0.057178,0.012449,0.070639,0.200639,
0.025268,0.003764,0.114424,0.008614,0.126854,0.134037,
0.000722,0.000040,0.004300,0.000223,0.004604,0.001609,
0.017484,0.001905,0.032211,0.004759,0.038918,0.072553,
0.005336,0.000362,0.029647,0.003820,0.033884,0.023019,
0.367673,0.055333,2.956321,0.435481,3.447197,0.811368,
0.374816,0.055373,2.957618,0.434989,3.448040,2.200603,
0.001312,0.004108,0.006688,0.009675,0.020750,0.004935,
0.002255,0.000162,0.011813,0.000803,0.012825,0.004407,
0.103669,0.016315,0.304291,0.033849,0.354527,0.893637,
0.210006,0.021240,0.499855,0.079832,0.600981,2.064157,
0.001027,0.000133,0.000675,0.000220,0.001051,0.001739,
0.006795,0.000414,0.033451,0.004717,0.038806,0.010741,
0.059095,0.007564,0.075519,0.014826,0.097963,0.393897,
0.024369,0.004175,0.072053,0.008289,0.084714,0.427949,
0.017676,0.002486,0.056174,0.013556,0.072273,0.202684,
0.025353,0.002194,0.108905,0.008636,0.119778,0.134553,
0.000707,0.000258,0.001021,0.000153,0.001691,0.001318,
0.018872,0.002053,0.026038,0.007218,0.035356,0.073673,
0.005203,0.000358,0.028999,0.004378,0.034170,0.023318,
0.370494,0.055185,2.957457,0.434718,3.447426,0.813713,
0.371573,0.055531,2.957577,0.435083,3.448257,2.183608,
0.001077,0.005322,0.012224,0.005924,0.023500,0.004150,
0.002123,0.000142,0.011228,0.001407,0.012829,0.004393,
0.105057,0.008119,0.300319,0.033134,0.341644,0.859435,
0.201932,0.022400,0.512899,0.076667,0.612028,2.064900,
0.000857,0.000261,0.001622,0.001056,0.002979,0.001689,
0.009844,0.000539,0.032016,0.006682,0.039295,0.019037,
0.058196,0.006554,0.081634,0.013194,0.101428,0.396968,
0.024085,0.006017,0.062957,0.010215,0.079240,0.420321,
0.016259,0.001227,0.056736,0.007622,0.065641,0.203142,
0.024073,0.003949,0.116726,0.008431,0.129149,0.135358,
0.000572,0.000039,0.001076,0.000169,0.001310,0.001285,
0.017198,0.002641,0.024328,0.006795,0.033814,0.073642,
0.005238,0.000437,0.028866,0.003805,0.033162,0.022666,
0.366633,0.055807,2.950698,0.435803,3.442375,0.817450,
0.370123,0.055221,2.958256,0.435977,3.449514,2.210914,
0.001083,0.004369,0.012147,0.005684,0.022231,0.005044,
0.002129,0.000153,0.011532,0.001280,0.013020,0.004358,
0.103229,0.008629,0.300655,0.032894,0.342253,0.863155,
0.201296,0.022718,0.531777,0.076968,0.631511,2.060940,
0.000819,0.000127,0.000661,0.000220,0.001030,0.001609,
0.006781,0.000389,0.049014,0.003891,0.053350,0.012055,
0.062188,0.006832,0.080855,0.013347,0.101286,0.391451,
0.024814,0.002411,0.073077,0.009413,0.085094,0.421596,
0.016785,0.001009,0.053750,0.009416,0.064233,0.201380,
0.023100,0.002207,0.114731,0.008887,0.125870,0.134856,
0.000591,0.000041,0.001053,0.000234,0.001351,0.001255,
0.017389,0.002240,0.033000,0.020011,0.055293,0.071054,
0.005686,0.000964,0.031185,0.005698,0.037904,0.023869,
0.370396,0.059218,3.058802,0.440730,3.558817,0.829519,
0.376079,0.056228,3.016280,0.434375,3.506940,2.246843,
0.001104,0.004736,0.019758,0.009989,0.034519,0.002678,
0.002136,0.000472,0.009971,0.000791,0.011596,0.004267,
0.103785,0.010000,0.305383,0.035561,0.351016,0.869992,
0.201881,0.026865,0.589941,0.080758,0.697617,2.071396,
0.000840,0.000129,0.000669,0.000220,0.001043,0.002499,
0.007491,0.000530,0.030683,0.004633,0.035900,0.011441,
0.061150,0.009382,0.083166,0.014760,0.107437,0.401457,
0.023802,0.001799,0.064473,0.008478,0.075896,0.427512,
0.017232,0.003307,0.078081,0.008755,0.090200,0.202347,
0.023121,0.002141,0.112446,0.009634,0.124266,0.136748,
0.000718,0.000044,0.004937,0.013077,0.018341,0.001965,
0.017421,0.001075,0.027581,0.004934,0.033632,0.073937,
0.005337,0.000382,0.028179,0.004469,0.033087,0.023456,
0.370583,0.057147,3.065999,0.446156,3.570007,0.819392,
0.374364,0.055370,3.014311,0.437441,3.507184,2.243414,
0.001207,0.005633,0.023910,0.003822,0.033417,0.002777,
0.002873,0.000221,0.015654,0.000912,0.016833,0.004256,
0.103677,0.012788,0.307017,0.033780,0.353652,0.873450,
0.200520,0.026912,0.546505,0.091175,0.664649,2.179958,
0.000958,0.000171,0.000766,0.000220,0.001181,0.001466,
0.006845,0.002831,0.048682,0.004720,0.056298,0.012200,
0.059557,0.014115,0.074256,0.014811,0.103234,0.407505,
0.026715,0.007373,0.103073,0.033066,0.148195,0.512742,
0.028084,0.008161,0.185588,0.032286,0.234445,0.236481,
0.025509,0.004927,0.120436,0.008541,0.133958,0.138198,
0.000593,0.000041,0.001069,0.000168,0.001303,0.001696,
0.022305,0.003609,0.055382,0.008048,0.067202,0.076206,
0.005422,0.000478,0.036179,0.006747,0.043458,0.025305,
0.381513,0.055331,3.106577,0.441949,3.604090,0.818066,
0.372290,0.055660,3.056399,0.438466,3.550589,2.254693,
0.001599,0.008810,0.001688,0.011274,0.021806,0.002796,
0.002770,0.000179,0.011756,0.001319,0.013304,0.004992,
0.104914,0.008791,0.310531,0.032802,0.352190,0.892561,
0.212073,0.022192,0.486014,0.077165,0.585427,2.169049,
0.000926,0.001042,0.003290,0.000240,0.004612,0.001758,
0.006766,0.000460,0.035953,0.011418,0.047884,0.011369,
0.058999,0.008627,0.097419,0.013422,0.119520,0.401297,
0.023839,0.004517,0.060938,0.015031,0.080531,0.431292,
0.016623,0.001963,0.054528,0.009036,0.065584,0.204875,
0.027063,0.002926,0.110899,0.009489,0.123364,0.136268,
0.000600,0.000722,0.000975,0.000213,0.001946,0.001227,
0.017352,0.004620,0.034332,0.006649,0.045652,0.072163,
0.005225,0.000312,0.033014,0.010975,0.044351,0.022235,
0.373746,0.056616,3.095714,0.434592,3.586987,0.828836,
0.367623,0.056129,2.994697,0.437157,3.488052,2.253655,
0.001094,0.005873,0.003962,0.001802,0.011736,0.004234,
0.002727,0.000115,0.012885,0.001398,0.014804,0.004252,
0.103934,0.008190,0.295382,0.033743,0.337386,0.856664,
0.199622,0.021363,0.533272,0.076166,0.630859,2.079697,
0.000841,0.000665,0.005077,0.000228,0.006001,0.001626,
0.008557,0.000442,0.031677,0.004597,0.036769,0.014129,
0.059657,0.005464,0.079695,0.013278,0.098477,0.395743,
0.025560,0.009858,0.068213,0.008741,0.086870,0.420093,
0.017276,0.000959,0.057987,0.010169,0.069171,0.200239,
0.023652,0.003698,0.142286,0.042973,0.189103,0.135675,
0.000584,0.000040,0.001048,0.000215,0.001330,0.001269,
0.017421,0.002989,0.025134,0.008976,0.037289,0.076390,
0.004612,0.000365,0.029112,0.004341,0.033866,0.023966,
0.370414,0.055350,2.963584,0.446127,3.465127,0.886680,
0.377385,0.055722,3.049901,0.436541,3.542271,2.297668,
0.002380,0.001868,0.007691,0.002593,0.016313,0.002685,
0.002780,0.001652,0.013401,0.000809,0.015909,0.004470,
