import_time,gray_time,blur_time,sobel_time,filters_time,export_time,
0.046100,0.001078,0.096821,0.005702,0.103655,0.214943,
0.046190,0.002194,0.225230,0.006962,0.234438,0.142756,
0.002173,0.000331,0.004224,0.000398,0.005008,0.002276,
0.043538,0.001350,0.049605,0.003420,0.054426,0.075098,
0.018288,0.000764,0.069007,0.002838,0.072666,0.023924,
0.692729,0.062586,5.790810,0.349344,6.202795,0.800790,
0.694624,0.061172,5.843245,0.348262,6.252730,1.970020,
0.001966,0.000231,0.000397,0.000335,0.000984,0.002961,
0.006806,0.000480,0.031567,0.000840,0.032932,0.004408,
0.162683,0.009115,0.801153,0.034534,0.844855,0.883118,
0.300252,0.023324,1.391216,0.082932,1.497528,2.141987,
0.002588,0.000329,0.002878,0.000522,0.003781,0.002992,
0.019987,0.000731,0.067317,0.002897,0.071002,0.011594,
0.080531,0.003912,0.163963,0.011095,0.179024,0.427836,
0.050959,0.001969,0.129221,0.006031,0.137277,0.468348,
0.042014,0.001051,0.109740,0.005549,0.116391,0.211924,
0.039989,0.002177,0.225215,0.006900,0.234343,0.142112,
0.001491,0.000297,0.003984,0.000378,0.004709,0.002209,
0.038758,0.001308,0.054958,0.003413,0.059731,0.077103,
0.016854,0.000894,0.069828,0.002739,0.073528,0.024271,
0.670871,0.061187,5.251519,0.342866,5.655626,0.809191,
0.688259,0.061174,5.766813,0.342430,6.170469,1.803389,
0.002557,0.000512,0.000831,0.000724,0.002117,0.005311,
0.006751,0.000472,0.031370,0.000865,0.032753,0.004542,
0.148972,0.010533,0.701628,0.034485,0.746698,0.882678,
0.309836,0.023307,1.358038,0.081740,1.463142,2.137469,
0.002249,0.000302,0.002884,0.000524,0.003763,0.002446,
0.020100,0.000911,0.083770,0.002883,0.087635,0.011559,
0.081428,0.003908,0.167593,0.011098,0.182654,0.424442,
0.042258,0.001985,0.132965,0.006305,0.141305,0.444603,
0.036410,0.001034,0.101913,0.005555,0.108553,0.213586,
0.043537,0.002176,0.222277,0.006965,0.231467,0.142545,
0.001398,0.000304,0.004413,0.000369,0.005137,0.002133,
0.039321,0.001314,0.051623,0.003488,0.056478,0.076454,
0.016515,0.000775,0.068750,0.002706,0.072286,0.023943,
0.678715,0.061179,5.990447,0.343773,6.395451,0.793873,
0.688740,0.061171,5.790745,0.343420,6.195389,1.971234,
0.002660,0.000488,0.000847,0.000729,0.002114,0.004707,
0.006408,0.000463,0.029649,0.000870,0.031025,0.004371,
0.157947,0.009132,0.765269,0.034423,0.808879,0.879365,
0.316097,0.023334,1.396737,0.081573,1.501702,2.136922,
0.002098,0.000295,0.002903,0.000526,0.003776,0.002614,
0.018463,0.000661,0.077664,0.002861,0.081247,0.011592,
0.094110,0.003942,0.171849,0.011101,0.186947,0.428506,
0.043172,0.001983,0.121427,0.006104,0.129564,0.449710,
0.043229,0.001062,0.089207,0.005603,0.095925,0.213847,
0.043489,0.002205,0.226924,0.006988,0.236174,0.141854,
0.001489,0.000294,0.003851,0.000364,0.004561,0.002235,
0.031358,0.001212,0.048502,0.003412,0.053176,0.075055,
0.016315,0.000698,0.068839,0.002678,0.072271,0.023726,
0.675842,0.061166,6.007834,0.343803,6.412854,0.817562,
0.679303,0.061157,5.740013,0.343360,6.144584,1.903596,
0.002505,0.001567,0.000853,0.000730,0.003201,0.005238,
0.006701,0.000496,0.030569,0.000833,0.031941,0.004383,
0.156649,0.009173,0.742326,0.034549,0.786101,0.881264,
0.308873,0.023303,1.397346,0.081531,1.502236,2.154532,
0.001677,0.000217,0.002054,0.000371,0.002678,0.002300,
0.011270,0.000542,0.069221,0.002874,0.072688,0.011592,
0.088152,0.003878,0.172496,0.011166,0.187590,0.430323,
0.044105,0.001985,0.122789,0.006094,0.130918,0.452575,
0.028495,0.001026,0.123676,0.005569,0.130322,0.212566,
0.052220,0.002173,0.225345,0.006865,0.234435,0.151307,
0.001260,0.000311,0.003956,0.000376,0.004695,0.002084,
0.032622,0.001222,0.048657,0.003431,0.053360,0.075168,
0.016013,0.000739,0.071077,0.002691,0.074561,0.023941,
0.677592,0.061197,5.300025,0.343066,5.704341,0.809331,
0.676971,0.061123,5.787462,0.349106,6.197750,1.694290,
0.002703,0.000478,0.000851,0.000721,0.002100,0.005180,
0.006278,0.000495,0.032066,0.000857,0.033461,0.004445,
0.156589,0.009144,0.742189,0.034427,0.785820,0.880346,
0.298843,0.023279,1.389064,0.081553,1.493954,2.136676,
0.001813,0.000303,0.002535,0.000526,0.003416,0.002793,
0.019665,0.000897,0.084459,0.002922,0.088341,0.011539,
0.079365,0.003872,0.172438,0.011112,0.187477,0.432479,
0.041255,0.001994,0.130639,0.006060,0.138746,0.454220,
