import_time,gray_time,blur_time,sobel_time,filters_time,export_time,
0.057209,0.033670,0.331724,0.067221,0.432679,0.214039,
0.037038,0.057516,0.694124,0.095215,0.846915,0.142047,
0.001291,0.001805,0.015398,0.003374,0.020610,0.001612,
0.026646,0.031625,0.194499,0.058734,0.284914,0.075748,
0.019818,0.019270,0.188145,0.032499,0.239974,0.023974,
0.710991,1.321408,18.289861,3.257311,22.868642,0.819687,
0.690070,1.235287,17.723322,3.199697,22.158365,1.929562,
0.003974,0.003721,0.003626,0.002131,0.009515,0.002761,
0.009845,0.013928,0.085763,0.014620,0.114354,0.004464,
0.176649,0.248467,2.212857,0.449916,2.911308,0.941745,
0.304214,0.550052,3.394037,1.018474,4.962632,2.409942,
0.002044,0.002742,0.007392,0.003219,0.013380,0.001714,
0.023140,0.023025,0.244767,0.042415,0.310268,0.011811,
0.086264,0.109489,0.595039,0.185250,0.889836,0.444935,
0.029169,0.049746,0.430943,0.100576,0.581325,0.456929,
0.026330,0.030740,0.333066,0.066469,0.430338,0.212839,
0.032904,0.051735,0.736048,0.113453,0.901294,0.154607,
0.002255,0.004000,0.021557,0.003127,0.028730,0.001486,
0.032264,0.034991,0.195792,0.059256,0.290098,0.075661,
0.019488,0.019526,0.187546,0.032507,0.239643,0.024911,
0.706172,1.440383,18.550322,3.197543,23.188308,0.830972,
0.696567,1.375460,18.231763,3.272072,22.879357,1.969021,
0.003130,0.003705,0.007981,0.006325,0.018078,0.005722,
0.008539,0.012582,0.085103,0.014361,0.112086,0.004530,
0.161658,0.248592,2.160416,0.441402,2.850478,0.945547,
0.304490,0.500075,3.362639,1.015440,4.878226,2.406765,
0.001224,0.001710,0.006317,0.003191,0.011241,0.001895,
0.021660,0.023958,0.246941,0.042029,0.312982,0.011519,
0.083056,0.105307,0.599409,0.184514,0.889294,0.444968,
0.044436,0.054987,0.435546,0.098762,0.589361,0.455646,
0.023992,0.030845,0.334485,0.066862,0.432250,0.213203,
0.047983,0.047225,0.668577,0.094756,0.810623,0.142638,
0.002452,0.004233,0.021813,0.003093,0.029187,0.001469,
0.033089,0.034889,0.195307,0.060008,0.290265,0.075453,
0.015633,0.023116,0.185409,0.033189,0.241777,0.023923,
0.690877,1.440748,18.554870,3.204495,23.200173,0.830194,
0.692546,1.451296,18.504135,3.217669,23.173160,1.941017,
0.001856,0.002057,0.004129,0.002191,0.008403,0.002783,
0.008716,0.015780,0.086526,0.014346,0.116697,0.005031,
0.149225,0.225539,2.214751,0.442084,2.882441,0.939608,
0.332193,0.503663,3.328498,1.021935,4.854157,2.408082,
0.002643,0.005064,0.006320,0.003224,0.014631,0.001749,
0.010552,0.021829,0.245489,0.041463,0.308841,0.012037,
0.084238,0.099986,0.616240,0.186536,0.902822,0.445897,
0.035518,0.055181,0.435726,0.099207,0.590175,0.455099,
0.028923,0.030535,0.333809,0.066924,0.431338,0.213908,
0.056082,0.045997,0.654209,0.091263,0.791533,0.142103,
0.001994,0.004240,0.022699,0.003231,0.030218,0.001449,
0.023019,0.032768,0.196575,0.060004,0.289409,0.075909,
0.019188,0.018089,0.185040,0.035887,0.239071,0.023970,
0.693578,1.230787,17.713002,3.184808,22.128658,0.818442,
0.690845,1.439910,18.381691,3.061136,22.882795,1.951161,
0.003256,0.003467,0.007567,0.005837,0.016929,0.013979,
0.005022,0.011279,0.087394,0.014622,0.113337,0.004776,
0.171855,0.259342,2.205234,0.450029,2.914672,0.941282,
0.302716,0.502749,3.323106,1.015424,4.841345,2.407642,
0.002444,0.004497,0.006944,0.003069,0.014551,0.001754,
0.011538,0.020950,0.243081,0.041490,0.305576,0.012122,
0.094384,0.099975,0.620857,0.187293,0.908187,0.446251,
0.045310,0.055196,0.422693,0.097628,0.575579,0.455510,
0.036671,0.032920,0.326115,0.066967,0.426063,0.212638,
0.044410,0.043982,0.652250,0.091733,0.788027,0.142089,
0.002100,0.004223,0.023189,0.003231,0.030693,0.001532,
0.021186,0.034110,0.190316,0.059429,0.283917,0.075618,
0.019771,0.022566,0.187064,0.032265,0.241951,0.025191,
0.691727,1.442158,18.385695,3.072866,22.900782,0.823240,
0.677535,1.449059,18.524528,3.204877,23.178524,1.954323,
0.003218,0.003103,0.002742,0.002157,0.008025,0.002871,
0.003471,0.008079,0.084482,0.014702,0.107301,0.004448,
0.161080,0.252247,2.162811,0.445120,2.860247,0.941836,
0.306552,0.547801,3.381794,1.016814,4.946473,2.413123,
0.002382,0.004060,0.007105,0.003187,0.014389,0.001728,
0.009505,0.019846,0.244375,0.042406,0.306685,0.011643,
0.099686,0.100863,0.620823,0.186851,0.908643,0.445227,
0.054829,0.055446,0.421997,0.097638,0.575144,0.490046,
