import_time,gray_time,blur_time,sobel_time,filters_time,export_time,
0.022449,0.001133,0.049019,0.008954,0.059158,0.213943,
0.039946,0.003816,0.090950,0.006421,0.101245,0.139550,
0.001721,0.000282,0.002404,0.000388,0.003128,0.002104,
0.033448,0.001239,0.022110,0.003407,0.026809,0.074131,
0.012592,0.000848,0.043309,0.004279,0.048499,0.023813,
0.402496,0.060985,3.167286,0.479422,3.707750,0.801991,
0.383938,0.061034,3.149579,0.478776,3.689445,1.920411,
0.001965,0.000289,0.000406,0.000329,0.001044,0.002849,
0.006911,0.000474,0.021290,0.001763,0.023591,0.007119,
0.122439,0.009140,0.313882,0.033484,0.356568,0.922727,
0.224379,0.023039,0.525728,0.079133,0.627971,2.347528,
0.002513,0.000294,0.001507,0.000495,0.002346,0.002868,
0.016248,0.000875,0.041646,0.004466,0.047045,0.011600,
0.075879,0.003870,0.070950,0.010591,0.085477,0.436727,
0.041601,0.001973,0.051284,0.005672,0.058986,0.443872,
0.028978,0.001123,0.047965,0.008997,0.058135,0.209316,
0.049672,0.002488,0.090734,0.006339,0.099623,0.139128,
0.001363,0.000303,0.002331,0.000376,0.003061,0.002037,
0.032002,0.001205,0.022021,0.003391,0.026671,0.073874,
0.011895,0.000826,0.033997,0.004296,0.039178,0.023479,
0.395529,0.060988,3.149066,0.478454,3.688570,0.804879,
0.396863,0.061018,3.154388,0.478693,3.694159,1.878563,
0.001557,0.000255,0.000445,0.000346,0.001070,0.002900,
0.006451,0.000478,0.017103,0.001617,0.019262,0.005316,
0.120553,0.009118,0.312819,0.033568,0.355566,0.920251,
0.218410,0.023012,0.520854,0.079170,0.623102,2.347099,
0.001911,0.000302,0.001505,0.000496,0.002353,0.002867,
0.013756,0.000888,0.044401,0.004408,0.049756,0.011710,
0.082639,0.003862,0.071516,0.010587,0.086029,0.436601,
0.038472,0.001980,0.052019,0.005682,0.059739,0.448347,
0.035424,0.001236,0.049369,0.008942,0.059601,0.209670,
0.047032,0.002177,0.090464,0.006355,0.099055,0.140791,
0.001339,0.000288,0.002324,0.000382,0.003046,0.002098,
0.033006,0.001265,0.022163,0.003388,0.026867,0.073889,
0.011872,0.000829,0.040156,0.004218,0.045262,0.023987,
0.410029,0.061007,3.147374,0.478391,3.686832,0.805720,
0.395561,0.061025,3.191393,0.478949,3.731430,1.961253,
0.002362,0.000529,0.000897,0.000711,0.002182,0.004321,
0.006313,0.000492,0.017011,0.001628,0.019190,0.005328,
0.129912,0.009106,0.311781,0.033640,0.354590,0.919448,
0.220421,0.022997,0.526730,0.079585,0.629380,2.349760,
0.001720,0.000231,0.001103,0.000427,0.001797,0.002289,
0.015163,0.000748,0.035131,0.004399,0.040334,0.011785,
0.066640,0.003870,0.070968,0.010580,0.085476,0.433158,
0.048002,0.001975,0.051137,0.005749,0.058920,0.444626,
0.029824,0.001096,0.048604,0.009026,0.058775,0.208918,
0.038727,0.002181,0.090786,0.006352,0.099376,0.139512,
0.001210,0.000306,0.002309,0.000383,0.003050,0.002084,
0.040761,0.001303,0.023520,0.003411,0.028288,0.073826,
0.011839,0.000830,0.034626,0.004187,0.039699,0.024137,
0.403663,0.060963,3.170001,0.478837,3.709862,0.810326,
0.384357,0.060982,3.151077,0.479054,3.691171,1.923013,
0.002215,0.000537,0.000894,0.000711,0.002186,0.003281,
0.004490,0.000461,0.017915,0.001200,0.019625,0.005731,
0.119567,0.009129,0.312581,0.033481,0.355253,0.919082,
0.213153,0.022987,0.519804,0.078993,0.621851,2.346823,
0.001424,0.000227,0.001109,0.000363,0.001736,0.002291,
0.014826,0.000732,0.034762,0.004383,0.039935,0.011641,
0.082690,0.003875,0.070863,0.010555,0.085357,0.433900,
0.027399,0.002008,0.051178,0.005674,0.058919,0.448103,
0.018921,0.001102,0.047824,0.008854,0.057825,0.208183,
0.039533,0.002166,0.091398,0.006400,0.100022,0.138997,
0.001407,0.000293,0.002318,0.000383,0.003047,0.002123,
0.032640,0.001238,0.021978,0.003409,0.026677,0.074009,
0.011846,0.000829,0.042074,0.004204,0.047166,0.023795,
0.401462,0.061008,3.170141,0.478587,3.709795,0.815738,
0.394838,0.060974,3.150758,0.478621,3.690413,1.901957,
0.002553,0.000540,0.000877,0.000698,0.002160,0.004325,
0.004882,0.000478,0.017492,0.001117,0.019138,0.005475,
0.125420,0.009106,0.318200,0.033564,0.360931,0.919602,
0.213105,0.023040,0.525879,0.079095,0.628083,2.351949,
0.001922,0.000288,0.001518,0.000485,0.002340,0.002808,
0.013530,0.000825,0.037649,0.004358,0.042888,0.011589,
0.075028,0.003869,0.070314,0.010579,0.084828,0.433904,
0.024216,0.002026,0.052003,0.005719,0.059806,0.442349,
