import_time,gray_time,blur_time,sobel_time,filters_time,export_time,
0.024677,0.001563,0.138695,0.027558,0.167878,0.300453,
0.043185,0.002975,0.300173,0.036137,0.339353,0.202959,
0.001776,0.000466,0.009378,0.001692,0.011592,0.001943,
0.035280,0.002112,0.074125,0.019868,0.096173,0.108264,
0.016592,0.001161,0.088170,0.014242,0.103636,0.029821,
0.676866,0.073090,8.571515,1.431216,10.075884,0.807632,
0.667549,0.071755,8.934947,1.491486,10.498249,2.802067,
0.002361,0.000905,0.003228,0.002218,0.006396,0.006323,
0.006501,0.000865,0.040573,0.005183,0.046668,0.004545,
0.158744,0.011273,0.908293,0.165243,1.084883,1.332948,
0.309459,0.028150,1.517574,0.373532,1.919327,3.289002,
0.002178,0.000436,0.005173,0.001296,0.006939,0.001699,
0.019187,0.001377,0.094791,0.015092,0.111325,0.012429,
0.081537,0.005386,0.244380,0.065415,0.315250,0.578037,
0.032655,0.002764,0.167765,0.033585,0.204180,0.650679,
0.042650,0.001722,0.135977,0.026980,0.164746,0.299234,
0.050367,0.003016,0.299453,0.036476,0.339012,0.203440,
0.000854,0.000231,0.005187,0.001141,0.006592,0.001558,
0.032037,0.002118,0.073890,0.019771,0.095845,0.107997,
0.016167,0.001437,0.089457,0.014186,0.105143,0.029780,
0.676428,0.071466,8.778661,1.436213,10.286402,0.804619,
0.688329,0.102994,8.823783,1.468590,10.395427,2.802308,
0.002472,0.000680,0.003046,0.002181,0.005957,0.006038,
0.006284,0.000766,0.039197,0.005134,0.045147,0.004559,
0.158020,0.011027,0.911430,0.161483,1.084016,1.338181,
0.316126,0.028912,1.522417,0.372260,1.923663,3.296740,
0.001957,0.000423,0.005159,0.001249,0.006867,0.001885,
0.018937,0.001505,0.096903,0.015366,0.113843,0.012200,
0.080341,0.005084,0.239073,0.061704,0.305941,0.582640,
0.041557,0.002872,0.167788,0.033146,0.203872,0.656898,
0.025701,0.001533,0.139011,0.027758,0.168366,0.300346,
0.042508,0.003114,0.304240,0.036036,0.343458,0.202986,
0.001622,0.000360,0.008184,0.001819,0.010416,0.002055,
0.031252,0.002025,0.075985,0.020368,0.098441,0.107814,
0.015820,0.001252,0.088373,0.014223,0.103910,0.029982,
0.684349,0.075791,8.568718,1.437643,10.082218,0.806287,
0.681980,0.089564,8.696804,1.441825,10.228255,2.462960,
0.002749,0.000699,0.003129,0.002195,0.006073,0.016162,
0.006495,0.000812,0.046459,0.005168,0.052487,0.004557,
0.158148,0.010797,0.884102,0.149269,1.044237,1.361888,
0.308075,0.029002,1.514720,0.373486,1.917280,3.293417,
0.002020,0.000463,0.005575,0.001286,0.007359,0.001740,
0.019150,0.001359,0.094738,0.015105,0.111269,0.012323,
0.080564,0.005304,0.238643,0.063317,0.307333,0.584002,
0.030128,0.002815,0.167363,0.033579,0.203824,0.656837,
0.034201,0.001548,0.134895,0.027167,0.163677,0.300038,
0.042172,0.002980,0.298817,0.036176,0.338041,0.202173,
0.001371,0.000360,0.008260,0.001836,0.010508,0.002075,
0.030743,0.002237,0.073895,0.019862,0.096058,0.108214,
0.016244,0.001816,0.100515,0.014180,0.116590,0.029994,
0.686175,0.136096,8.641912,1.447213,10.225280,0.810904,
0.685256,0.112895,8.521917,1.422904,10.057774,2.367990,
0.002360,0.000757,0.003059,0.002369,0.006231,0.005950,
0.006300,0.000767,0.040115,0.005129,0.046061,0.004568,
0.165149,0.010929,0.889161,0.148108,1.048267,1.356323,
0.307279,0.029033,1.512589,0.380144,1.921838,3.302258,
0.001855,0.000379,0.005718,0.002983,0.009135,0.003059,
0.019776,0.001864,0.099843,0.015010,0.116785,0.012182,
0.089652,0.005173,0.233664,0.061492,0.300390,0.582979,
0.043538,0.002869,0.167900,0.033102,0.203936,0.656370,
0.035553,0.001645,0.135576,0.027010,0.164298,0.299332,
0.043001,0.003019,0.345351,0.036872,0.385312,0.202521,
0.001697,0.000383,0.008149,0.001822,0.010409,0.001928,
0.032228,0.002064,0.074212,0.019704,0.096046,0.108080,
0.016138,0.001488,0.088706,0.014182,0.104446,0.029929,
0.685085,0.077725,9.166016,1.487697,10.731503,0.819962,
0.687465,0.103514,8.560064,1.432325,10.095967,2.365715,
0.002698,0.000712,0.003036,0.001947,0.005735,0.003169,
0.006465,0.000908,0.040655,0.005156,0.046770,0.004488,
0.166186,0.010990,0.880715,0.147881,1.039661,1.360333,
0.317137,0.028239,1.533488,0.389844,1.951636,3.373259,
0.002452,0.000393,0.005566,0.001265,0.007259,0.001711,
0.019365,0.001587,0.095921,0.015206,0.112780,0.012325,
0.088828,0.005261,0.235572,0.062183,0.303082,0.588444,
0.048627,0.002703,0.167978,0.033170,0.203919,0.659990,
