import_time,gray_time,blur_time,sobel_time,filters_time,export_time,
0.024519,0.001046,0.088309,0.005558,0.094965,0.213928,
0.052488,0.002168,0.189060,0.006832,0.198111,0.142571,
0.001569,0.000328,0.004337,0.000441,0.005166,0.002171,
0.033980,0.001188,0.040925,0.003473,0.045634,0.075030,
0.017343,0.000628,0.057654,0.002774,0.061113,0.023705,
0.680041,0.061227,5.262152,0.346446,5.669881,0.796608,
0.684767,0.061189,5.285117,0.342499,5.688859,2.235178,
0.002843,0.000446,0.000855,0.000690,0.002040,0.005289,
0.006416,0.000468,0.035494,0.001129,0.037142,0.004998,
0.164853,0.009076,0.572109,0.034407,0.615651,0.880727,
0.308899,0.023282,1.039401,0.081852,1.144593,2.143391,
0.002116,0.000322,0.002545,0.000588,0.003508,0.002495,
0.019176,0.000711,0.063738,0.002951,0.067453,0.011696,
0.081771,0.003858,0.137833,0.010963,0.152711,0.427796,
0.044446,0.001978,0.104387,0.005900,0.112323,0.460026,
0.020260,0.001037,0.088386,0.005604,0.095075,0.212510,
0.043673,0.002220,0.194098,0.006865,0.203239,0.141878,
0.001281,0.000285,0.003783,0.000395,0.004514,0.002078,
0.032801,0.001196,0.040663,0.003396,0.045303,0.075061,
0.015941,0.000696,0.056287,0.002770,0.059816,0.023675,
0.675190,0.062181,5.279371,0.341747,5.683355,0.805270,
0.678684,0.061215,5.300548,0.343414,5.705229,2.291378,
0.001092,0.000235,0.000393,0.000319,0.000968,0.002731,
0.006272,0.000473,0.027577,0.000886,0.028982,0.004523,
0.162401,0.009104,0.567593,0.034330,0.611083,0.883056,
0.304042,0.023267,1.035735,0.081033,1.140092,2.136084,
0.001990,0.000354,0.002586,0.000546,0.003538,0.003039,
0.018671,0.000632,0.062939,0.002955,0.066579,0.011435,
0.081136,0.003859,0.137888,0.011086,0.152883,0.433012,
0.048692,0.002003,0.104591,0.005907,0.112553,0.455367,
0.042174,0.001047,0.089400,0.005657,0.096156,0.213388,
0.049641,0.002145,0.190212,0.007454,0.199863,0.144211,
0.001355,0.000284,0.003681,0.000391,0.004408,0.002081,
0.038026,0.001267,0.042215,0.003447,0.046982,0.074873,
0.015996,0.000700,0.058292,0.002762,0.061809,0.023803,
0.681687,0.061198,5.289992,0.347670,5.698909,0.818220,
0.687343,0.061230,5.288163,0.342994,5.692437,2.185018,
0.002349,0.000440,0.000863,0.000713,0.002065,0.005183,
0.006267,0.000470,0.029310,0.000896,0.030724,0.004573,
0.163962,0.009164,0.567756,0.034402,0.611377,0.877181,
0.308736,0.023278,1.027787,0.081092,1.132214,2.134989,
0.001203,0.000169,0.001568,0.000326,0.002094,0.002071,
0.018563,0.000652,0.062962,0.002962,0.066633,0.011583,
0.086879,0.003889,0.141941,0.011086,0.156965,0.442573,
0.040959,0.001985,0.104524,0.005941,0.112504,0.452973,
0.043111,0.001043,0.089597,0.005536,0.096226,0.212495,
0.052838,0.002163,0.189759,0.006743,0.198718,0.142122,
0.001590,0.000270,0.003689,0.000406,0.004417,0.002053,
0.032841,0.001210,0.040755,0.003383,0.045396,0.075312,
0.011849,0.000670,0.065967,0.002763,0.069454,0.023607,
0.677900,0.061150,5.301773,0.342898,5.705871,0.817022,
0.683020,0.061159,5.278235,0.347788,5.687241,2.184880,
0.002639,0.000446,0.000906,0.000746,0.002147,0.004676,
0.006528,0.000468,0.034577,0.000957,0.036048,0.005054,
0.152997,0.009115,0.567658,0.034359,0.611186,0.894075,
0.308736,0.023287,1.032446,0.081360,1.137147,2.163005,
0.002132,0.000290,0.002690,0.000522,0.003553,0.002993,
0.019193,0.002512,0.062427,0.002975,0.067967,0.011449,
0.079343,0.003862,0.138263,0.011004,0.153181,0.433880,
0.043870,0.002007,0.104142,0.005961,0.112164,0.454573,
0.036153,0.001022,0.091668,0.005571,0.098310,0.213870,
0.043151,0.002240,0.189903,0.006759,0.198959,0.142530,
0.001241,0.000303,0.003686,0.000368,0.004410,0.002284,
0.036404,0.001264,0.042260,0.003487,0.047063,0.075214,
0.016212,0.000681,0.058185,0.002761,0.061686,0.027915,
0.677406,0.061197,5.293455,0.347010,5.701714,0.808378,
0.678055,0.062485,5.283087,0.342501,5.688129,2.115110,
0.002479,0.000497,0.000873,0.000704,0.002125,0.004711,
0.006390,0.000466,0.029169,0.000889,0.030569,0.004487,
0.156732,0.009091,0.572058,0.034393,0.615594,0.877350,
0.302003,0.023275,1.029240,0.081181,1.133751,2.137053,
0.001930,0.000299,0.002671,0.000593,0.003619,0.003076,
0.019331,0.000709,0.064189,0.002950,0.067906,0.011645,
0.080001,0.003905,0.137900,0.011232,0.153091,0.433549,
0.040839,0.001973,0.104585,0.005922,0.112531,0.455118,
