import_time,gray_time,blur_time,sobel_time,filters_time,export_time,
0.026271,0.001239,0.046893,0.005612,0.053796,0.299710,
0.044134,0.002305,0.091420,0.006402,0.100186,0.204008,
0.001817,0.000353,0.002855,0.000411,0.003691,0.002355,
0.034204,0.001272,0.022543,0.003520,0.027388,0.107749,
0.017729,0.000925,0.038857,0.002727,0.042579,0.029801,
0.677572,0.061252,3.032062,0.342192,3.435566,0.806411,
0.689666,0.061362,3.026963,0.342769,3.431152,2.798438,
0.002549,0.000476,0.001104,0.000778,0.002411,0.004857,
0.006639,0.000502,0.020789,0.001543,0.022893,0.006957,
0.158264,0.009211,0.306200,0.034365,0.349839,1.337747,
0.305057,0.023328,0.522648,0.087256,0.633302,3.287871,
0.002291,0.000324,0.001583,0.000537,0.002497,0.003106,
0.019375,0.000764,0.034034,0.002943,0.037802,0.012182,
0.079635,0.003980,0.069656,0.010933,0.084630,0.563912,
0.032491,0.002094,0.052564,0.005789,0.060502,0.655751,
0.036418,0.001218,0.045691,0.005662,0.052619,0.299676,
0.041872,0.002275,0.091592,0.006454,0.100380,0.204108,
0.001214,0.000317,0.002301,0.000371,0.003042,0.002067,
0.032912,0.001256,0.022635,0.003469,0.027416,0.108309,
0.009204,0.000597,0.030259,0.002742,0.033656,0.029796,
0.676585,0.061280,3.020582,0.342313,3.424233,0.826497,
0.690408,0.068895,3.026199,0.342391,3.437543,2.292400,
0.002504,0.000491,0.001028,0.000806,0.002373,0.006035,
0.006300,0.000486,0.017707,0.001277,0.019521,0.005733,
0.160058,0.009216,0.306242,0.034312,0.349839,1.341229,
0.303948,0.023320,0.522029,0.081913,0.627326,3.302370,
0.001929,0.000314,0.001600,0.000529,0.002497,0.002997,
0.019017,0.000768,0.033753,0.002999,0.037572,0.012257,
0.091171,0.003935,0.069532,0.010759,0.084292,0.566934,
0.040573,0.002076,0.051755,0.005806,0.059695,0.658397,
0.034770,0.001146,0.045730,0.005597,0.052520,0.301941,
0.041844,0.002350,0.091318,0.006406,0.100134,0.204233,
0.001347,0.000310,0.002327,0.000361,0.003048,0.002093,
0.026655,0.001218,0.022184,0.003474,0.026927,0.108173,
0.016289,0.000744,0.032059,0.002759,0.035616,0.029928,
0.677394,0.061398,3.021830,0.342393,3.425681,0.808754,
0.676800,0.061271,3.034773,0.342447,3.438551,2.556420,
0.002619,0.000462,0.000983,0.000785,0.002279,0.005179,
0.006285,0.000489,0.028703,0.001287,0.030535,0.006422,
0.156773,0.009208,0.306049,0.034350,0.349671,1.365033,
0.302110,0.023302,0.526788,0.081672,0.631834,3.302761,
0.001824,0.000318,0.001588,0.000523,0.002482,0.003001,
0.018899,0.000768,0.033283,0.002994,0.037105,0.012179,
0.078493,0.003984,0.069681,0.010693,0.084425,0.568072,
0.038462,0.002101,0.051639,0.005795,0.059591,0.656118,
0.042984,0.001239,0.050351,0.005609,0.057252,0.299848,
0.050806,0.002242,0.091450,0.006370,0.100119,0.205003,
0.001473,0.000285,0.002330,0.000358,0.003025,0.002182,
0.031846,0.001253,0.022397,0.003452,0.027156,0.108127,
0.015974,0.000727,0.031392,0.002736,0.034914,0.029880,
0.681225,0.061275,3.017064,0.347466,3.425866,0.806640,
0.689617,0.061315,3.020053,0.346088,3.427514,2.470284,
0.002563,0.002077,0.001029,0.000802,0.003958,0.004201,
0.006470,0.000491,0.020689,0.001538,0.022778,0.007107,
0.166399,0.009204,0.306303,0.039653,0.355220,1.368119,
0.309227,0.023334,0.527463,0.081797,0.632662,3.296696,
0.002068,0.002776,0.001594,0.000535,0.004969,0.002281,
0.019420,0.000782,0.034314,0.002956,0.038120,0.012173,
0.080506,0.003964,0.069709,0.010749,0.084489,0.569203,
0.037378,0.002120,0.051655,0.005848,0.059680,0.656700,
0.027620,0.001127,0.045507,0.005587,0.052269,0.299656,
0.050538,0.002261,0.096716,0.006550,0.105587,0.204017,
0.001366,0.000296,0.002229,0.000364,0.002941,0.002220,
0.031538,0.001253,0.022384,0.003550,0.027238,0.106932,
0.016238,0.000860,0.039350,0.002789,0.043058,0.029574,
0.685133,0.061231,3.028060,0.342277,3.431630,0.811855,
0.661656,0.061319,3.039802,0.342790,3.443977,2.371759,
0.002328,0.000495,0.001019,0.000789,0.002354,0.005914,
0.006282,0.000501,0.017091,0.001100,0.018742,0.005628,
0.166412,0.009262,0.312478,0.034317,0.356123,1.367942,
0.296316,0.023288,0.523322,0.081708,0.628385,3.349118,
0.001953,0.000304,0.001592,0.000538,0.002486,0.003086,
0.019060,0.000779,0.033701,0.002960,0.037495,0.012060,
0.080604,0.003965,0.069946,0.010740,0.084716,0.576430,
0.042265,0.002093,0.051725,0.005857,0.059732,0.656404,
