import_time,gray_time,blur_time,sobel_time,filters_time,export_time,
0.906818,0.368740,7.297960,0.155955,7.822712,0.870164,
0.816290,0.263257,4.217724,0.616251,5.097310,6.160849,
0.794103,0.305561,6.708628,0.472362,7.486608,4.609890,
0.612322,0.263596,5.629523,0.690132,6.583309,0.751873,
0.433445,0.203579,3.225549,0.476752,3.905934,0.850716,
1.438676,0.404826,6.530942,0.152700,7.088527,9.624478,
0.896799,0.332081,7.608451,0.166971,8.107616,0.892273,
0.817689,0.249352,4.668711,0.650463,5.568594,6.280012,
0.746402,0.310619,6.620440,0.446600,7.377713,4.800255,
0.643877,0.275344,5.428971,0.661516,6.365893,0.756215,
0.420311,0.199675,3.077595,0.500031,3.777373,0.885687,
1.362763,0.358811,6.411187,0.294217,7.064271,9.507848,
0.882194,0.329631,7.469260,0.157444,7.956391,0.908295,
0.823168,0.269075,4.629163,0.657233,5.555544,6.293795,
0.746731,0.298149,6.411454,0.439150,7.148806,4.537343,
0.603456,0.262983,5.355761,0.658082,6.276882,0.753460,
0.474745,0.216484,3.059800,0.467907,3.744253,0.845899,
1.349377,0.357302,6.308692,0.247873,6.913927,9.373440,
0.893629,0.336769,7.419056,0.167546,7.923425,0.876986,
0.804190,0.266454,4.244149,0.627752,5.138429,6.171018,
0.748843,0.307088,6.567867,0.451235,7.326273,4.651218,
0.608731,0.260800,5.376519,0.657046,6.294436,0.749873,
0.423604,0.197886,3.051104,0.464849,3.713899,0.853257,
1.325125,0.357891,6.253718,0.243316,6.854978,9.277628,
0.880835,0.337068,7.199807,0.155510,7.692438,0.872976,
0.793924,0.257182,4.231411,0.630895,5.119563,6.396844,
0.788198,0.355644,6.741228,0.447558,7.544495,4.624521,
0.615583,0.262511,5.428434,0.657987,6.349001,0.746801,
0.447700,0.212588,3.223713,0.454745,3.891103,0.824925,
1.355978,0.386744,6.414053,0.244096,7.044948,9.531489,
0.908364,0.354275,7.368724,0.155686,7.878752,0.875623,
0.812302,0.252551,4.305163,0.634020,5.191796,6.220773,
0.782589,0.310817,6.533595,0.460540,7.305008,4.700798,
0.624269,0.275117,5.427737,0.688202,6.391115,0.771150,
0.433053,0.223253,3.133887,0.471332,3.828525,0.847476,
1.394088,0.378626,6.367259,0.277668,7.023608,9.368101,
0.907622,0.361833,7.369539,0.157161,7.888588,0.865521,
0.822713,0.258772,4.325702,0.641636,5.226175,6.193163,
0.768651,0.306680,6.518338,0.441655,7.266729,4.575767,
0.636816,0.270301,5.379618,0.653387,6.303371,0.763359,
0.431972,0.204938,3.114400,0.459617,3.779017,0.875894,
1.375408,0.373706,6.393344,0.243827,7.010946,9.423956,
0.920686,0.348848,7.366207,0.156833,7.871946,0.898242,
0.824143,0.257003,4.312871,0.681361,5.251292,6.423590,
0.784143,0.306811,6.758419,0.457252,7.522538,4.707904,
0.653967,0.278913,5.262816,0.658423,6.200211,0.742558,
0.431835,0.202755,3.048606,0.452517,3.703934,0.836583,
1.381989,0.357208,6.298553,0.242954,6.898767,9.219566,
0.899051,0.348078,7.339449,0.159681,7.847264,0.879782,
0.808713,0.253972,4.267455,0.627978,5.149469,6.148884,
0.818342,0.341663,6.585109,0.503817,7.430658,4.742049,
0.634939,0.276250,5.540278,0.689179,6.505764,0.805526,
0.429913,0.198951,3.073862,0.467484,3.740357,0.849059,
1.333482,0.356892,6.272664,0.290781,6.920408,9.264239,
0.889932,0.332095,7.187095,0.155377,7.674619,0.867415,
0.797190,0.258385,4.256588,0.629168,5.144200,6.152977,
0.758409,0.306624,6.506607,0.436879,7.250180,4.605376,
0.611199,0.256331,5.376173,0.659171,6.291727,0.769526,
0.426291,0.199110,3.048609,0.458883,3.706653,0.860803,
1.363578,0.365803,6.273371,0.283661,6.922906,9.408273,
