import_time,gray_time,blur_time,sobel_time,filters_time,export_time,
0.910873,0.130203,16.509727,1.577582,18.217569,0.862585,
0.810672,0.090965,9.705670,1.174609,10.971301,7.356794,
0.762248,0.117411,14.814488,1.407499,16.339470,4.490257,
0.610637,0.101431,12.202188,1.166965,13.470640,0.708772,
0.437085,0.069980,7.046293,0.812991,7.929321,0.959327,
0.885265,0.129871,16.881853,1.598376,18.610170,0.893700,
0.820859,0.093360,9.735460,1.154608,10.983486,7.217822,
0.753526,0.122501,14.660990,1.393715,16.177263,4.458921,
0.618117,0.105086,12.185686,1.170281,13.461115,0.715700,
0.443773,0.072453,7.033721,0.817714,7.923944,0.967500,
0.913637,0.135892,16.661704,1.586634,18.384288,0.864475,
0.819801,0.094676,9.771888,1.140673,11.007292,7.353433,
0.786320,0.125058,14.679695,1.399970,16.204801,4.431247,
0.624070,0.110977,12.139392,1.153148,13.403571,0.696720,
0.439718,0.076064,6.959797,0.794439,7.830358,0.954343,
0.919517,0.134743,16.742924,1.573303,18.451024,0.861412,
0.840493,0.092114,9.824908,1.184618,11.101703,7.700344,
0.793634,0.137083,14.804277,1.428075,16.369499,4.548374,
0.628563,0.110032,12.304590,1.205711,13.620413,0.707506,
0.441839,0.071977,7.142344,0.822792,8.037184,0.981816,
0.936702,0.136274,16.967710,1.602532,18.706572,0.881209,
0.868569,0.098383,9.855156,1.171275,11.124883,7.222763,
0.791955,0.121337,15.110155,1.422763,16.654314,4.790094,
0.610341,0.097269,12.291955,1.175816,13.565099,0.693039,
0.457360,0.111689,7.679508,0.793479,8.584732,0.948901,
0.920367,0.137794,17.005167,1.624689,18.767708,0.896298,
0.996112,0.092971,9.882667,1.155268,11.130970,7.233599,
0.769898,0.118321,14.907547,1.454047,16.479971,4.846515,
0.631979,0.102359,12.299396,1.166800,13.568625,0.713006,
0.434219,0.068786,7.122118,0.804506,7.995466,0.957454,
0.910510,0.131528,16.801701,1.626401,18.559686,0.887874,
0.881268,0.092501,9.957742,1.175789,11.226088,7.342853,
0.775598,0.117940,14.930302,1.419959,16.468256,4.456260,
0.619897,0.120387,12.256533,1.158513,13.535507,0.704069,
0.431706,0.066798,7.182938,0.826895,8.076691,0.987619,
1.044448,0.132811,16.916061,1.580346,18.629295,0.870567,
0.847761,0.094274,9.781900,1.170870,11.047103,7.277423,
0.770556,0.117402,14.786139,1.405905,16.309502,4.548990,
0.622227,0.100067,12.227148,1.179436,13.506703,0.694665,
0.436265,0.067823,7.085980,0.820064,7.973937,0.951975,
1.107050,0.217046,17.062245,1.587417,18.866772,0.881619,
0.859268,0.103513,9.932831,1.157713,11.194112,7.304646,
0.779472,0.117391,15.019891,1.449840,16.587175,4.503556,
0.628175,0.095977,12.341813,1.156849,13.594697,0.695969,
0.435021,0.066399,7.025943,0.817744,7.910134,0.970463,
0.916862,0.136169,16.926052,1.592529,18.654823,0.872957,
0.835099,0.090743,9.772780,1.171350,11.034944,7.259135,
0.778969,0.120423,15.154445,1.439506,16.714433,4.443234,
0.623553,0.099882,12.343379,1.185633,13.628962,0.712629,
0.441946,0.069312,7.091808,0.797555,7.958729,0.956150,
