import_time,gray_time,blur_time,sobel_time,filters_time,export_time,
0.900041,0.083156,4.178817,0.440912,4.702946,0.878611,
0.823388,0.063106,2.407323,0.313839,2.784332,5.967043,
0.753411,0.076992,3.628127,0.392617,4.097806,4.146032,
0.599771,0.061281,2.999379,0.347592,3.408319,0.751908,
0.430953,0.052035,1.738852,0.255160,2.046111,0.835941,
1.344309,0.100097,3.568915,0.508612,4.177687,9.265227,
0.884721,0.083281,4.105376,0.441159,4.629875,0.881746,
0.803297,0.066765,2.459485,0.328635,2.854945,6.157932,
0.774102,0.087555,3.918945,0.410509,4.417096,4.265655,
0.644856,0.064341,3.223446,0.326719,3.614610,0.758810,
0.429473,0.048215,1.916349,0.247928,2.212888,0.907352,
1.445918,0.131113,3.797752,0.542485,4.472517,9.513790,
0.903090,0.083219,4.330344,0.470778,4.884403,0.896442,
0.818488,0.069407,2.524814,0.333921,2.928204,6.164527,
0.781950,0.076892,3.753112,0.402139,4.232203,4.332680,
0.642606,0.064885,3.486613,0.408064,3.959642,0.790437,
0.466370,0.088655,2.435738,0.335777,2.860388,0.879122,
1.391835,0.092092,3.760760,0.542840,4.395751,9.458256,
0.910559,0.110970,4.109870,0.439695,4.660597,0.887259,
0.861000,0.058830,2.390326,0.318384,2.767601,6.074250,
0.760943,0.086346,4.064682,0.426112,4.577202,4.263338,
0.648622,0.062376,2.991855,0.321740,3.376032,0.758704,
0.427877,0.041536,1.710583,0.230865,1.983051,0.832963,
1.346787,0.094481,3.608423,0.512902,4.215877,9.348502,
0.910512,0.091783,4.111970,0.439786,4.643601,0.891227,
0.812658,0.057538,2.450251,0.319699,2.827551,6.037689,
0.793841,0.074109,3.651193,0.391633,4.116995,4.146094,
0.610076,0.059401,2.986361,0.320952,3.366775,0.740595,
0.426817,0.041883,1.736027,0.230098,2.008074,0.830590,
1.345708,0.095727,3.562367,0.511736,4.169893,9.570419,
0.935487,0.097511,4.272777,0.447631,4.817976,0.923622,
0.843872,0.059818,2.453309,0.320901,2.834230,5.959275,
0.776380,0.075683,3.645273,0.393012,4.114027,4.175839,
0.619932,0.061923,3.032177,0.321823,3.415994,0.753841,
0.437483,0.045085,1.821126,0.232928,2.099205,0.845124,
1.432730,0.092774,3.571375,0.513400,4.177617,9.296992,
0.924461,0.089189,4.118662,0.442462,4.650373,0.893680,
0.828470,0.059831,2.581275,0.320887,2.962059,6.082078,
0.790513,0.076329,3.843029,0.394947,4.314375,4.239556,
0.629696,0.060046,3.024081,0.322676,3.406860,0.744133,
0.434836,0.042743,1.845733,0.247999,2.136537,0.833991,
1.383504,0.094388,3.576478,0.521723,4.192649,9.264663,
0.901213,0.082984,4.114417,0.442130,4.639599,0.883120,
0.822205,0.059251,2.395699,0.315516,2.770531,5.984787,
0.767886,0.072350,3.619323,0.391843,4.083577,4.147535,
0.619949,0.060017,2.994655,0.329329,3.384055,0.745360,
0.433567,0.042133,1.739675,0.231393,2.013265,0.829096,
1.385165,0.108285,4.321205,0.534459,4.964014,9.569220,
0.966461,0.083989,4.356341,0.475784,4.916169,0.899724,
0.821016,0.056906,2.395316,0.322002,2.774290,6.209361,
0.789706,0.072647,3.868419,0.444808,4.385945,4.246325,
0.631888,0.060213,3.111978,0.321193,3.493457,0.739940,
0.435252,0.041524,1.757895,0.236583,2.036066,0.849113,
1.405223,0.093606,3.597024,0.526528,4.217550,9.395094,
0.932163,0.087520,4.157683,0.469633,4.714892,0.878968,
0.822632,0.059085,2.419956,0.322698,2.801803,6.100127,
0.771318,0.073202,3.650341,0.395916,4.119519,4.165960,
0.616574,0.059832,3.056828,0.333817,3.450539,0.781177,
0.497816,0.049791,1.831034,0.247022,2.127905,0.891768,
1.443997,0.104325,3.729187,0.522804,4.356704,9.972593,
