filename,n_subimgs,width,height,import_time,filters_time,export_time
images/original/051009.vince.gif,1,1484,913,0.025984,0.135797,0.195345
images/original/1.gif,10,500,500,0.024965,0.101134,0.135659
images/original/200_s.gif,1,200,200,0.000722,0.004701,0.00149
images/original/9815573.gif,10,500,281,0.016703,0.042317,0.069227
images/original/australian-flag-large.gif,1,1200,600,0.006609,0.095528,0.020756
images/original/Campusplan-Hausnr.gif,1,9932,7016,0.623325,10.510982,0.809632
images/original/Campusplan-Mobilitaetsbeschraenkte.gif,1,9933,7016,0.628848,10.440178,2.213315
images/original/fire.gif,33,30,60,0.0016,0.003731,0.003266
images/original/frame_002.gif,1,585,450,0.003197,0.034659,0.004102
images/original/giphy-3.gif,5,1920,1080,0.171728,0.535207,0.871237
images/original/Mandelbrot-large.gif,20,1200,1200,0.265213,0.790469,2.059753
images/original/porsche.gif,1,320,200,0.001047,0.005184,0.001697
images/original/Produits_sous_linux.gif,1,800,950,0.007872,0.106353,0.00984
images/original/TimelyHugeGnu.gif,19,640,360,0.058716,0.125302,0.390223
images/original/tumblr_myxlbtwVEb1qzt4vjo1_r14_500_large.gif,10,480,480,0.024533,0.072881,0.429125
