n_subimgs,width,height,import_time,filters_time,export_time,
1.000000,1484.000000,913.000000,0.026823,0.097809,0.289758,
10.000000,500.000000,500.000000,0.031761,0.182550,0.196411,
1.000000,200.000000,200.000000,0.001016,0.003822,0.001604,
10.000000,500.000000,281.000000,0.020820,0.072581,0.101716,
1.000000,1200.000000,600.000000,0.007235,0.039321,0.026287,
1.000000,9932.000000,7016.000000,0.404635,4.790058,0.797115,
1.000000,9933.000000,7016.000000,0.392568,5.376961,2.501704,
33.000000,30.000000,60.000000,0.001309,0.003684,0.003035,
1.000000,585.000000,450.000000,0.005119,0.014046,0.004463,
5.000000,1920.000000,1080.000000,0.109562,0.547200,1.326109,
20.000000,1200.000000,1200.000000,0.276128,1.648659,3.290545,
1.000000,320.000000,200.000000,0.001050,0.004534,0.002311,
1.000000,800.000000,950.000000,0.007962,0.051283,0.011574,
19.000000,640.000000,360.000000,0.080557,0.183584,0.570677,
10.000000,480.000000,480.000000,0.032736,0.163025,0.640128,
1.000000,1484.000000,913.000000,0.025515,0.092369,0.289410,
10.000000,500.000000,500.000000,0.035106,0.205593,0.197372,
1.000000,200.000000,200.000000,0.000839,0.004582,0.001425,
10.000000,500.000000,281.000000,0.032854,0.065021,0.102544,
1.000000,1200.000000,600.000000,0.008942,0.052294,0.026506,
1.000000,9932.000000,7016.000000,0.486086,6.418092,0.797953,
1.000000,9933.000000,7016.000000,0.490804,6.423631,2.484596,
33.000000,30.000000,60.000000,0.001804,0.005545,0.003308,
1.000000,585.000000,450.000000,0.003777,0.011389,0.004490,
5.000000,1920.000000,1080.000000,0.156468,0.615036,1.327646,
20.000000,1200.000000,1200.000000,0.256852,1.646601,3.279569,
1.000000,320.000000,200.000000,0.001055,0.004682,0.001786,
1.000000,800.000000,950.000000,0.009561,0.056069,0.012344,
19.000000,640.000000,360.000000,0.060386,0.164702,0.566171,
10.000000,480.000000,480.000000,0.036745,0.159501,0.637781,
1.000000,1484.000000,913.000000,0.022428,0.127086,0.289628,
10.000000,500.000000,500.000000,0.032028,0.241490,0.196750,
1.000000,200.000000,200.000000,0.001318,0.005174,0.001540,
10.000000,500.000000,281.000000,0.023327,0.064342,0.102721,
1.000000,1200.000000,600.000000,0.006357,0.052871,0.026613,
1.000000,9932.000000,7016.000000,0.401506,5.922305,0.796768,
1.000000,9933.000000,7016.000000,0.487757,5.964525,2.329052,
33.000000,30.000000,60.000000,0.001582,0.004311,0.003492,
1.000000,585.000000,450.000000,0.005503,0.014449,0.004895,
5.000000,1920.000000,1080.000000,0.113672,0.566492,1.327909,
20.000000,1200.000000,1200.000000,0.274092,1.202885,3.286310,
1.000000,320.000000,200.000000,0.001462,0.007109,0.002201,
1.000000,800.000000,950.000000,0.010006,0.070874,0.011771,
19.000000,640.000000,360.000000,0.062331,0.183902,0.567813,
10.000000,480.000000,480.000000,0.026533,0.156437,0.648539,
