n_subimgs,width,height,import_time,filters_time,export_time,
1.000000,1484.000000,913.000000,0.016519,0.174827,0.195432,
10.000000,500.000000,500.000000,0.023189,0.367625,0.136653,
1.000000,200.000000,200.000000,0.000687,0.004192,0.001699,
10.000000,500.000000,281.000000,0.016455,0.095481,0.067488,
1.000000,1200.000000,600.000000,0.005439,0.104594,0.019432,
1.000000,9932.000000,7016.000000,0.373454,11.142471,0.822331,
1.000000,9933.000000,7016.000000,0.366693,11.168564,1.801613,
33.000000,30.000000,60.000000,0.001149,0.001294,0.003241,
1.000000,585.000000,450.000000,0.002944,0.038338,0.004040,
5.000000,1920.000000,1080.000000,0.109834,1.249463,0.860723,
20.000000,1200.000000,1200.000000,0.197402,2.180622,2.059466,
1.000000,320.000000,200.000000,0.001042,0.003451,0.001692,
1.000000,800.000000,950.000000,0.005741,0.117060,0.010293,
19.000000,640.000000,360.000000,0.056640,0.311248,0.393827,
10.000000,480.000000,480.000000,0.022936,0.222386,0.420588,
